metric,n_seeds,seeds,mean,std,min,max,ci95_low,ci95_high
step1.classified_rate,5,7|21|42|99|123,0.238600,0.015253,0.219000,0.266000,0.225800,0.253600
step1.cross_jurisdiction_rate,5,7|21|42|99|123,0.781400,0.013691,0.765000,0.806000,0.770600,0.794200
step1.high_sensitivity_rate,5,7|21|42|99|123,0.441000,0.014100,0.425000,0.461000,0.429400,0.453200
step1.num_cases,5,7|21|42|99|123,360.000000,0.000000,360.000000,360.000000,360.000000,360.000000
step1.num_officers,5,7|21|42|99|123,240.000000,0.000000,240.000000,240.000000,240.000000,240.000000
step1.num_records,5,7|21|42|99|123,900.000000,0.000000,900.000000,900.000000,900.000000,900.000000
step1.num_stations,5,7|21|42|99|123,36.000000,0.000000,36.000000,36.000000,36.000000,36.000000
step1.requests_generated,5,7|21|42|99|123,1000.000000,0.000000,1000.000000,1000.000000,1000.000000,1000.000000
step1.revoked_credential_rate,5,7|21|42|99|123,0.094200,0.014302,0.078000,0.116000,0.082595,0.106200
step2.allow_rate,5,7|21|42|99|123,0.112200,0.007652,0.101000,0.125000,0.105400,0.119400
step2.deny_rate,5,7|21|42|99|123,0.403600,0.005851,0.397000,0.412000,0.398600,0.408800
step2.escalate_rate,5,7|21|42|99|123,0.484200,0.013060,0.463000,0.502000,0.472000,0.494800
step2.requests_evaluated,5,7|21|42|99|123,1000.000000,0.000000,1000.000000,1000.000000,1000.000000,1000.000000
step3.events_logged,5,7|21|42|99|123,1000.000000,0.000000,1000.000000,1000.000000,1000.000000,1000.000000
step3.mutable.detection_rate,5,7|21|42|99|123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
step3.signed_chain.detection_rate,5,7|21|42|99|123,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
step4.block_count,5,7|21|42|99|123,20.000000,0.000000,20.000000,20.000000,20.000000,20.000000
step4.blockchain.detection_rate,5,7|21|42|99|123,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
step4.event_count,5,7|21|42|99|123,1000.000000,0.000000,1000.000000,1000.000000,1000.000000,1000.000000
