seed,attack,severity,defense,scope,detected,js_divergence,p_value,stations_flagged,stations_evaluated
42,policy_skew_corruption,5,signed_chain,log-integrity,1,,,,
42,policy_skew_corruption,5,blockchain_style,log-integrity,1,,,,
42,policy_skew_corruption,5,ct_log,log-integrity,1,,,,
42,policy_skew_corruption,5,fabric_abac,log-integrity,1,,,,
42,policy_skew_corruption,5,abac_reexec,log-integrity,1,,,,
42,policy_skew_corruption,5,nspi_drift_global,policy-distribution,0,0.00018721564365062077,0.6865671641791045,,
42,policy_skew_corruption,5,nspi_drift_per_station,policy-distribution,0,,,0.0,36.0
42,coordinated_laundering,4,signed_chain,log-integrity,1,,,,
42,coordinated_laundering,4,blockchain_style,log-integrity,1,,,,
42,coordinated_laundering,4,ct_log,log-integrity,1,,,,
42,coordinated_laundering,4,fabric_abac,log-integrity,1,,,,
42,coordinated_laundering,4,abac_reexec,log-integrity,1,,,,
42,coordinated_laundering,4,nspi_drift_global,policy-distribution,0,0.0011196371023738218,0.1044776119402985,,
42,coordinated_laundering,4,nspi_drift_per_station,policy-distribution,0,,,0.0,36.0
42,compromised_signer,5,signed_chain,log-integrity,0,,,,
42,compromised_signer,5,blockchain_style,log-integrity,0,,,,
42,compromised_signer,5,ct_log,log-integrity,0,,,,
42,compromised_signer,5,fabric_abac,log-integrity,0,,,,
42,compromised_signer,5,abac_reexec,log-integrity,0,,,,
42,compromised_signer,5,nspi_drift_global,policy-distribution,1,0.030601201465367486,0.004975124378109453,,
42,compromised_signer,5,nspi_drift_per_station,policy-distribution,1,,,7.0,36.0
123,policy_skew_corruption,5,signed_chain,log-integrity,1,,,,
123,policy_skew_corruption,5,blockchain_style,log-integrity,1,,,,
123,policy_skew_corruption,5,ct_log,log-integrity,1,,,,
123,policy_skew_corruption,5,fabric_abac,log-integrity,1,,,,
123,policy_skew_corruption,5,abac_reexec,log-integrity,1,,,,
123,policy_skew_corruption,5,nspi_drift_global,policy-distribution,0,0.0009978366923575344,0.12935323383084577,,
123,policy_skew_corruption,5,nspi_drift_per_station,policy-distribution,0,,,0.0,36.0
123,coordinated_laundering,4,signed_chain,log-integrity,1,,,,
123,coordinated_laundering,4,blockchain_style,log-integrity,1,,,,
123,coordinated_laundering,4,ct_log,log-integrity,1,,,,
123,coordinated_laundering,4,fabric_abac,log-integrity,1,,,,
123,coordinated_laundering,4,abac_reexec,log-integrity,1,,,,
123,coordinated_laundering,4,nspi_drift_global,policy-distribution,1,0.0016456001872013296,0.03980099502487562,,
123,coordinated_laundering,4,nspi_drift_per_station,policy-distribution,0,,,0.0,36.0
123,compromised_signer,5,signed_chain,log-integrity,0,,,,
123,compromised_signer,5,blockchain_style,log-integrity,0,,,,
123,compromised_signer,5,ct_log,log-integrity,0,,,,
123,compromised_signer,5,fabric_abac,log-integrity,0,,,,
123,compromised_signer,5,abac_reexec,log-integrity,0,,,,
123,compromised_signer,5,nspi_drift_global,policy-distribution,1,0.024418665103715733,0.004975124378109453,,
123,compromised_signer,5,nspi_drift_per_station,policy-distribution,1,,,6.0,36.0
21,policy_skew_corruption,5,signed_chain,log-integrity,1,,,,
