metric,value
artifact_type,fabric_audit_event_preparation
events_prepared,25
validation_all_valid,true
decision_allow,3
decision_deny,8
decision_escalate,14
raw_records_on_chain,false
forbidden_output_fields_seen,0
fabric_executed,false
fabric_execution_blocker,Docker not installed on this machine
claim_supported,commitment-only Fabric audit events can be prepared from synthetic SEBA-XAI policy output
claim_not_supported_yet,events have not yet been committed to a running Fabric ledger on this machine
