defense,attack,n_seeds,detection_rate,detection_std,severity
abac_reexec,backdate_request,5,1.0,0.0,3
abac_reexec,collude_block_signature,5,1.0,0.0,5
abac_reexec,compromised_signer,5,0.0,0.0,5
abac_reexec,metadata_inference,5,1.0,0.0,4
abac_reexec,replay_approval_token,5,1.0,0.0,3
abac_reexec,revocation_race,5,1.0,0.0,2
abac_reexec,swap_explanation_hash,5,1.0,0.0,2
blockchain_style,backdate_request,5,1.0,0.0,3
blockchain_style,collude_block_signature,5,1.0,0.0,5
blockchain_style,compromised_signer,5,0.0,0.0,5
blockchain_style,metadata_inference,5,1.0,0.0,4
blockchain_style,replay_approval_token,5,1.0,0.0,3
blockchain_style,revocation_race,5,1.0,0.0,2
blockchain_style,swap_explanation_hash,5,1.0,0.0,2
ct_log,backdate_request,5,1.0,0.0,3
ct_log,collude_block_signature,5,1.0,0.0,5
ct_log,compromised_signer,5,0.0,0.0,5
ct_log,metadata_inference,5,1.0,0.0,4
ct_log,replay_approval_token,5,1.0,0.0,3
ct_log,revocation_race,5,1.0,0.0,2
ct_log,swap_explanation_hash,5,1.0,0.0,2
fabric_abac,backdate_request,5,1.0,0.0,3
fabric_abac,collude_block_signature,5,1.0,0.0,5
fabric_abac,compromised_signer,5,0.0,0.0,5
fabric_abac,metadata_inference,5,1.0,0.0,4
fabric_abac,replay_approval_token,5,1.0,0.0,3
fabric_abac,revocation_race,5,1.0,0.0,2
fabric_abac,swap_explanation_hash,5,1.0,0.0,2
mutable_log,backdate_request,5,0.0,0.0,3
mutable_log,collude_block_signature,5,1.0,0.0,5
mutable_log,compromised_signer,5,0.0,0.0,5
mutable_log,metadata_inference,5,1.0,0.0,4
mutable_log,replay_approval_token,5,1.0,0.0,3
mutable_log,revocation_race,5,0.0,0.0,2
mutable_log,swap_explanation_hash,5,0.0,0.0,2
nspi_drift,backdate_request,5,0.0,0.0,3
nspi_drift,collude_block_signature,5,0.2,0.447213595499958,5
nspi_drift,compromised_signer,5,1.0,0.0,5
nspi_drift,metadata_inference,5,0.0,0.0,4
nspi_drift,replay_approval_token,5,0.0,0.0,3
nspi_drift,revocation_race,5,0.0,0.0,2
nspi_drift,swap_explanation_hash,5,0.0,0.0,2
signed_chain,backdate_request,5,1.0,0.0,3
signed_chain,collude_block_signature,5,1.0,0.0,5
signed_chain,compromised_signer,5,0.0,0.0,5
signed_chain,metadata_inference,5,1.0,0.0,4
signed_chain,replay_approval_token,5,1.0,0.0,3
signed_chain,revocation_race,5,1.0,0.0,2
signed_chain,swap_explanation_hash,5,1.0,0.0,2
trusted_policy_oracle,backdate_request,5,1.0,0.0,3
trusted_policy_oracle,collude_block_signature,5,1.0,0.0,5
trusted_policy_oracle,compromised_signer,5,1.0,0.0,5
trusted_policy_oracle,metadata_inference,5,1.0,0.0,4
trusted_policy_oracle,replay_approval_token,5,1.0,0.0,3
trusted_policy_oracle,revocation_race,5,1.0,0.0,2
trusted_policy_oracle,swap_explanation_hash,5,1.0,0.0,2
