seed,flip_fraction_requested,n_flipped,flip_fraction_actual,clean_log_allow_rate,reference_policy_allow_rate,perturbed_allow_rate,allow_rate_delta_vs_clean_log,allow_rate_delta_vs_reference,nspi_global_detected,nspi_global_js,nspi_global_p,nspi_per_station_detected,stations_flagged,stations_evaluated,nspi_any_detected,trusted_policy_oracle_detected
42,0.02,17,0.017,0.113,0.129,0.13,0.017,0.0010000000000000009,0,8.313344966616389e-06,0.9751243781094527,0,0,36,0,1
42,0.05,44,0.044,0.113,0.129,0.157,0.044,0.027999999999999997,0,0.0008384388862885458,0.20398009950248755,0,0,36,0,1
42,0.1,88,0.088,0.113,0.129,0.201,0.08800000000000001,0.07200000000000001,1,0.004742354177876926,0.004975124378109453,0,0,36,1,1
42,0.15,133,0.133,0.113,0.129,0.246,0.133,0.11699999999999999,1,0.011388986613930663,0.004975124378109453,1,2,36,1,1
42,0.2,177,0.177,0.113,0.129,0.29,0.177,0.16099999999999998,1,0.020143130458134113,0.004975124378109453,1,2,36,1,1
42,0.25,221,0.221,0.113,0.129,0.334,0.22100000000000003,0.20500000000000002,1,0.030361726014113747,0.004975124378109453,1,6,36,1,1
42,0.35,310,0.31,0.113,0.129,0.423,0.31,0.294,1,0.056308263361266514,0.004975124378109453,1,16,36,1,1
42,0.5,443,0.443,0.113,0.129,0.556,0.44300000000000006,0.42700000000000005,1,0.10704536590066795,0.004975124378109453,1,27,36,1,1
123,0.02,17,0.017,0.125,0.155,0.142,0.016999999999999987,-0.013000000000000012,0,0.0005702992394295671,0.2537313432835821,0,0,36,0,1
123,0.05,43,0.043,0.125,0.155,0.168,0.04300000000000001,0.013000000000000012,0,0.0007693796918351592,0.18407960199004975,0,0,36,0,1
123,0.1,87,0.087,0.125,0.155,0.212,0.087,0.056999999999999995,1,0.003102039611665155,0.009950248756218905,0,0,36,1,1
123,0.15,131,0.131,0.125,0.155,0.256,0.131,0.101,1,0.008582066469778552,0.004975124378109453,1,3,36,1,1
123,0.2,175,0.175,0.125,0.155,0.3,0.175,0.145,1,0.01590276761562705,0.004975124378109453,1,1,36,1,1
123,0.25,218,0.218,0.125,0.155,0.343,0.21800000000000003,0.18800000000000003,1,0.024892595442422148,0.004975124378109453,1,6,36,1,1
123,0.35,306,0.306,0.125,0.155,0.431,0.306,0.276,1,0.04762049155695237,0.004975124378109453,1,14,36,1,1
123,0.5,437,0.437,0.125,0.155,0.562,0.43700000000000006,0.40700000000000003,1,0.0945156430717704,0.004975124378109453,1,24,36,1,1
21,0.02,17,0.017,0.111,0.143,0.128,0.017,-0.014999999999999986,0,0.00025320488632791464,0.6218905472636815,0,0,36,0,1
21,0.05,44,0.044,0.111,0.143,0.155,0.044,0.01200000000000001,0,0.00016085542666629827,0.7263681592039801,0,0,36,0,1
21,0.1,88,0.088,0.111,0.143,0.199,0.08800000000000001,0.05600000000000002,1,0.002776676064018516,0.014925373134328358,1,1,36,1,1
21,0.15,133,0.133,0.111,0.143,0.244,0.133,0.101,1,0.008250427128244616,0.004975124378109453,1,2,36,1,1
21,0.2,177,0.177,0.111,0.143,0.288,0.177,0.145,1,0.01579560179536966,0.004975124378109453,1,4,36,1,1
21,0.25,222,0.222,0.111,0.143,0.333,0.22200000000000003,0.19000000000000003,1,0.025669089638077628,0.004975124378109453,1,4,36,1,1
21,0.35,311,0.311,0.111,0.143,0.422,0.311,0.279,1,0.049651115652559766,0.004975124378109453,1,14,36,1,1
21,0.5,444,0.444,0.111,0.143,0.555,0.44400000000000006,0.41200000000000003,1,0.09809990458054646,0.004975124378109453,1,28,36,1,1
7,0.02,17,0.017,0.111,0.128,0.128,0.017,0.0,0,5.8136247285844444e-05,0.8805970149253731,0,0,36,0,1
7,0.05,44,0.044,0.111,0.128,0.155,0.044,0.026999999999999996,0,0.0008354376286671102,0.1791044776119403,0,0,36,0,1
7,0.1,88,0.088,0.111,0.128,0.199,0.08800000000000001,0.07100000000000001,1,0.0046799704874725834,0.004975124378109453,1,1,36,1,1
7,0.15,133,0.133,0.111,0.128,0.244,0.133,0.11599999999999999,1,0.011395390116467417,0.004975124378109453,1,3,36,1,1
7,0.2,177,0.177,0.111,0.128,0.288,0.177,0.15999999999999998,1,0.020005276935758848,0.004975124378109453,1,4,36,1,1
7,0.25,222,0.222,0.111,0.128,0.333,0.22200000000000003,0.20500000000000002,1,0.03058570380805313,0.004975124378109453,1,10,36,1,1
7,0.35,311,0.311,0.111,0.128,0.422,0.311,0.294,1,0.056490109629668675,0.004975124378109453,1,18,36,1,1
7,0.5,444,0.444,0.111,0.128,0.555,0.44400000000000006,0.42700000000000005,1,0.10732357016032631,0.004975124378109453,1,28,36,1,1
99,0.02,17,0.017,0.101,0.114,0.118,0.016999999999999987,0.00399999999999999,0,4.1715802908700575e-05,0.9402985074626866,0,0,36,0,1
99,0.05,44,0.044,0.101,0.114,0.145,0.043999999999999984,0.030999999999999986,0,0.001107853107992798,0.14925373134328357,0,0,36,0,1
99,0.1,89,0.089,0.101,0.114,0.19,0.089,0.076,1,0.005658459283984686,0.004975124378109453,1,1,36,1,1
99,0.15,134,0.134,0.101,0.114,0.235,0.13399999999999998,0.12099999999999998,1,0.013012577597768988,0.004975124378109453,1,2,36,1,1
99,0.2,179,0.179,0.101,0.114,0.28,0.17900000000000002,0.16600000000000004,1,0.022430724944481104,0.004975124378109453,1,6,36,1,1
99,0.25,224,0.224,0.101,0.114,0.325,0.224,0.21100000000000002,1,0.0335896895318904,0.004975124378109453,1,10,36,1,1
99,0.35,314,0.314,0.101,0.114,0.415,0.31399999999999995,0.301,1,0.06100559014535434,0.004975124378109453,1,18,36,1,1
99,0.5,449,0.449,0.101,0.114,0.55,0.44900000000000007,0.43600000000000005,1,0.11441746747228915,0.004975124378109453,1,25,36,1,1
