seed,target_scope,target_group,target_group_eligible,flip_fraction_requested,n_flipped,global_flip_fraction_actual,target_flip_fraction_actual,nspi_global_detected,nspi_global_js,nspi_global_p,nspi_per_station_detected,stations_flagged,stations_evaluated,strongest_station,strongest_station_js,strongest_station_p,nspi_per_district_detected,districts_flagged,districts_evaluated,strongest_district,strongest_district_js,strongest_district_p,nspi_any_detected,trusted_policy_oracle_detected
42,station,STATE_03_DIST_02_PS_02,44,0.1,4,0.004,0.09090909090909091,0,0.0001917024173866029,0.681592039800995,0,0,36,STATE_02_DIST_01_PS_03,0.05357223962017266,0.5771144278606966,0,0,12,STATE_01_DIST_02,0.0023054302326340984,0.6467661691542289,0,1
42,station,STATE_03_DIST_02_PS_02,44,0.25,11,0.011,0.25,0,7.822808328095164e-05,0.8407960199004975,1,1,36,STATE_02_DIST_01_PS_03,0.05357223962017266,0.5771144278606966,0,0,12,STATE_03_DIST_02,0.012851232882834478,0.0945273631840796,1,1
42,station,STATE_03_DIST_02_PS_02,44,0.5,22,0.022,0.5,0,9.984114849028738e-05,0.8208955223880597,1,1,36,STATE_03_DIST_02_PS_02,0.1538368697400286,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.03887698678181423,0.004975124378109453,1,1
42,station,STATE_03_DIST_02_PS_02,44,0.75,33,0.033,0.75,0,0.0003772203183874332,0.472636815920398,1,1,36,STATE_03_DIST_02_PS_02,0.3052591930523319,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.07265205577354061,0.004975124378109453,1,1
42,station,STATE_03_DIST_02_PS_02,44,1.0,44,0.044,1.0,0,0.000901458612284271,0.15920398009950248,1,1,36,STATE_03_DIST_02_PS_02,0.6012490590954276,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.11357133892537394,0.004975124378109453,1,1
42,district,STATE_03_DIST_02,103,0.1,10,0.01,0.0970873786407767,0,5.40769937639133e-05,0.8905472636815921,0,0,36,STATE_02_DIST_01_PS_03,0.05357223962017266,0.5771144278606966,0,0,12,STATE_03_DIST_02,0.011541148395508436,0.1044776119402985,0,1
42,district,STATE_03_DIST_02,103,0.25,25,0.025,0.24271844660194175,0,0.00015574260869691487,0.736318407960199,1,1,36,STATE_03_DIST_02_PS_01,0.09908623159158024,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.04745394955838808,0.004975124378109453,1,1
42,district,STATE_03_DIST_02,103,0.5,51,0.051,0.49514563106796117,0,0.0012725826783997738,0.06965174129353234,1,3,36,STATE_03_DIST_02_PS_01,0.2363981123338283,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.14358613204926216,0.004975124378109453,1,1
42,district,STATE_03_DIST_02,103,0.75,77,0.077,0.7475728155339806,1,0.0036409517988507285,0.004975124378109453,1,3,36,STATE_03_DIST_02_PS_01,0.35778786854596295,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.28757559763441265,0.004975124378109453,1,1
42,district,STATE_03_DIST_02,103,1.0,103,0.103,1.0,1,0.006845448724060827,0.004975124378109453,1,3,36,STATE_03_DIST_02_PS_01,0.6306564865833166,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.5726920026314828,0.004975124378109453,1,1
123,station,STATE_03_DIST_02_PS_03,38,0.1,3,0.003,0.07894736842105263,0,0.0011402618773241136,0.1044776119402985,0,0,36,STATE_01_DIST_01_PS_03,0.0586920126768067,0.42786069651741293,0,0,12,STATE_03_DIST_04,0.013477363034891669,0.12935323383084577,0,1
123,station,STATE_03_DIST_02_PS_03,38,0.25,9,0.009,0.23684210526315788,0,0.0007995548673094132,0.1791044776119403,0,0,36,STATE_01_DIST_01_PS_03,0.0586920126768067,0.42786069651741293,0,0,12,STATE_03_DIST_04,0.013477363034891669,0.12935323383084577,0,1
123,station,STATE_03_DIST_02_PS_03,38,0.5,19,0.019,0.5,0,0.00031255786557313724,0.4626865671641791,1,1,36,STATE_03_DIST_02_PS_03,0.09438455648648399,0.009950248756218905,0,0,12,STATE_03_DIST_04,0.013477363034891669,0.12935323383084577,1,1
123,station,STATE_03_DIST_02_PS_03,38,0.75,28,0.028,0.7368421052631579,0,0.0001994620947885755,0.6268656716417911,1,1,36,STATE_03_DIST_02_PS_03,0.19009502004070264,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.029156945675336852,0.014925373134328358,1,1
123,station,STATE_03_DIST_02_PS_03,38,1.0,38,0.038,1.0,0,0.0002252250177709166,0.6119402985074627,1,1,36,STATE_03_DIST_02_PS_03,0.4394563034018093,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.058135325764208254,0.004975124378109453,1,1
123,district,STATE_03_DIST_02,94,0.1,9,0.009,0.09574468085106383,0,0.0008587174868404488,0.15920398009950248,0,0,36,STATE_01_DIST_01_PS_03,0.0586920126768067,0.42786069651741293,0,0,12,STATE_03_DIST_04,0.013477363034891669,0.12935323383084577,0,1
123,district,STATE_03_DIST_02,94,0.25,23,0.023,0.24468085106382978,0,0.0004749445242324358,0.35323383084577115,0,0,36,STATE_01_DIST_01_PS_03,0.0586920126768067,0.42786069651741293,1,1,12,STATE_03_DIST_02,0.01618944975883192,0.04477611940298507,1,1
123,district,STATE_03_DIST_02,94,0.5,47,0.047,0.5,0,0.0006950094021458408,0.208955223880597,1,2,36,STATE_03_DIST_02_PS_01,0.11902471633621589,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.08236262080866537,0.004975124378109453,1,1
123,district,STATE_03_DIST_02,94,0.75,70,0.07,0.7446808510638298,1,0.0018069955756179566,0.024875621890547265,1,3,36,STATE_03_DIST_02_PS_01,0.29622181048398233,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.19487264278640343,0.004975124378109453,1,1
123,district,STATE_03_DIST_02,94,1.0,94,0.094,1.0,1,0.003739598777579154,0.009950248756218905,1,3,36,STATE_03_DIST_02_PS_01,0.5432149648185953,0.004975124378109453,1,1,12,STATE_03_DIST_02,0.44930838363737874,0.004975124378109453,1,1
21,station,STATE_01_DIST_04_PS_03,46,0.1,4,0.004,0.08695652173913043,0,0.0008775384071702322,0.23880597014925373,0,0,36,STATE_02_DIST_03_PS_01,0.04855441608097846,0.4079601990049751,0,0,12,STATE_02_DIST_01,0.010642129048557207,0.3383084577114428,0,1
