target_scope,flip_fraction_requested,n_seeds,mean_target_group_eligible,mean_n_flipped,mean_global_flip_fraction,nspi_global_detection_rate,nspi_per_station_detection_rate,nspi_per_district_detection_rate,nspi_any_detection_rate,trusted_oracle_detection_rate,mean_strongest_station_js,mean_strongest_district_js
district,0.1,5,106.6,10.2,0.010199999999999999,0.0,0.0,0.0,0.0,1.0,0.04118732966314688,0.010585618397718025
district,0.25,5,106.6,26.4,0.0264,0.0,0.8,1.0,1.0,1.0,0.09412118589279712,0.03883072048328412
district,0.5,5,106.6,53.2,0.053200000000000004,0.2,1.0,1.0,1.0,1.0,0.19738251699167897,0.12721915578994064
district,0.75,5,106.6,79.8,0.07980000000000001,1.0,1.0,1.0,1.0,1.0,0.36488984311374834,0.26315012888443406
district,1.0,5,106.6,106.6,0.1066,1.0,1.0,1.0,1.0,1.0,0.6506625980711341,0.5405981651124596
station,0.1,5,46.8,4.2,0.004200000000000001,0.0,0.0,0.0,0.0,1.0,0.04118732966314688,0.006971988965376735
station,0.25,5,46.8,11.4,0.011399999999999999,0.0,0.6,0.2,0.6,1.0,0.05676075289002112,0.012466587755313587
station,0.5,5,46.8,23.4,0.023399999999999997,0.0,1.0,0.8,1.0,1.0,0.14310925278064668,0.03409559384442303
station,0.75,5,46.8,34.8,0.0348,0.0,1.0,1.0,1.0,1.0,0.28055344475021454,0.0673731019686793
station,1.0,5,46.8,46.8,0.046799999999999994,0.2,1.0,1.0,1.0,1.0,0.5557978897513391,0.11668667366844954
