source_table,group,metric,seed,value
full_grid_raw,defense=abac_reexec,detection_rate,7,0.0
full_grid_raw,defense=abac_reexec,detection_rate,21,0.0
full_grid_raw,defense=abac_reexec,detection_rate,42,0.0
full_grid_raw,defense=abac_reexec,detection_rate,99,0.0
full_grid_raw,defense=abac_reexec,detection_rate,123,0.0
full_grid_raw,defense=blockchain_style,detection_rate,7,0.0
full_grid_raw,defense=blockchain_style,detection_rate,21,0.0
full_grid_raw,defense=blockchain_style,detection_rate,42,0.0
full_grid_raw,defense=blockchain_style,detection_rate,99,0.0
full_grid_raw,defense=blockchain_style,detection_rate,123,0.0
full_grid_raw,defense=ct_log,detection_rate,7,0.0
full_grid_raw,defense=ct_log,detection_rate,21,0.0
full_grid_raw,defense=ct_log,detection_rate,42,0.0
full_grid_raw,defense=ct_log,detection_rate,99,0.0
full_grid_raw,defense=ct_log,detection_rate,123,0.0
full_grid_raw,defense=fabric_abac,detection_rate,7,0.0
full_grid_raw,defense=fabric_abac,detection_rate,21,0.0
full_grid_raw,defense=fabric_abac,detection_rate,42,0.0
full_grid_raw,defense=fabric_abac,detection_rate,99,0.0
full_grid_raw,defense=fabric_abac,detection_rate,123,0.0
full_grid_raw,defense=mutable_log,detection_rate,7,0.0
full_grid_raw,defense=mutable_log,detection_rate,21,0.0
full_grid_raw,defense=mutable_log,detection_rate,42,0.0
full_grid_raw,defense=mutable_log,detection_rate,99,0.0
full_grid_raw,defense=mutable_log,detection_rate,123,0.0
full_grid_raw,defense=nspi_drift,detection_rate,7,1.0
full_grid_raw,defense=nspi_drift,detection_rate,21,1.0
full_grid_raw,defense=nspi_drift,detection_rate,42,1.0
full_grid_raw,defense=nspi_drift,detection_rate,99,1.0
full_grid_raw,defense=nspi_drift,detection_rate,123,1.0
full_grid_raw,defense=signed_chain,detection_rate,7,0.0
full_grid_raw,defense=signed_chain,detection_rate,21,0.0
full_grid_raw,defense=signed_chain,detection_rate,42,0.0
full_grid_raw,defense=signed_chain,detection_rate,99,0.0
full_grid_raw,defense=signed_chain,detection_rate,123,0.0
full_grid_raw,defense=trusted_policy_oracle,detection_rate,7,1.0
full_grid_raw,defense=trusted_policy_oracle,detection_rate,21,1.0
full_grid_raw,defense=trusted_policy_oracle,detection_rate,42,1.0
full_grid_raw,defense=trusted_policy_oracle,detection_rate,99,1.0
full_grid_raw,defense=trusted_policy_oracle,detection_rate,123,1.0
adaptive_attack_summary,defense=abac_reexec,detection_rate,7,0.0
adaptive_attack_summary,defense=abac_reexec,detection_rate,21,0.0
adaptive_attack_summary,defense=abac_reexec,detection_rate,42,0.0
adaptive_attack_summary,defense=abac_reexec,detection_rate,99,0.0
adaptive_attack_summary,defense=abac_reexec,detection_rate,123,0.0
adaptive_attack_summary,defense=blockchain_style,detection_rate,7,0.0
adaptive_attack_summary,defense=blockchain_style,detection_rate,21,0.0
adaptive_attack_summary,defense=blockchain_style,detection_rate,42,0.0
adaptive_attack_summary,defense=blockchain_style,detection_rate,99,0.0
adaptive_attack_summary,defense=blockchain_style,detection_rate,123,0.0
adaptive_attack_summary,defense=ct_log,detection_rate,7,0.0
adaptive_attack_summary,defense=ct_log,detection_rate,21,0.0
adaptive_attack_summary,defense=ct_log,detection_rate,42,0.0
adaptive_attack_summary,defense=ct_log,detection_rate,99,0.0
adaptive_attack_summary,defense=ct_log,detection_rate,123,0.0
adaptive_attack_summary,defense=fabric_abac,detection_rate,7,0.0
adaptive_attack_summary,defense=fabric_abac,detection_rate,21,0.0
adaptive_attack_summary,defense=fabric_abac,detection_rate,42,0.0
adaptive_attack_summary,defense=fabric_abac,detection_rate,99,0.0
adaptive_attack_summary,defense=fabric_abac,detection_rate,123,0.0
adaptive_attack_summary,defense=nspi_drift_global,detection_rate,7,1.0
adaptive_attack_summary,defense=nspi_drift_global,detection_rate,21,1.0
adaptive_attack_summary,defense=nspi_drift_global,detection_rate,42,1.0
adaptive_attack_summary,defense=nspi_drift_global,detection_rate,99,1.0
adaptive_attack_summary,defense=nspi_drift_global,detection_rate,123,1.0
adaptive_attack_summary,defense=nspi_drift_per_station,detection_rate,7,1.0
adaptive_attack_summary,defense=nspi_drift_per_station,detection_rate,21,1.0
adaptive_attack_summary,defense=nspi_drift_per_station,detection_rate,42,1.0
adaptive_attack_summary,defense=nspi_drift_per_station,detection_rate,99,1.0
adaptive_attack_summary,defense=nspi_drift_per_station,detection_rate,123,1.0
adaptive_attack_summary,defense=signed_chain,detection_rate,7,0.0
adaptive_attack_summary,defense=signed_chain,detection_rate,21,0.0
adaptive_attack_summary,defense=signed_chain,detection_rate,42,0.0
adaptive_attack_summary,defense=signed_chain,detection_rate,99,0.0
adaptive_attack_summary,defense=signed_chain,detection_rate,123,0.0
explanation_audit_quality,all,trace_complete_rate,7,1.0
explanation_audit_quality,all,trace_complete_rate,21,1.0
explanation_audit_quality,all,trace_complete_rate,42,1.0
explanation_audit_quality,all,trace_complete_rate,99,1.0
explanation_audit_quality,all,trace_complete_rate,123,1.0
explanation_audit_quality,all,decisive_attribute_full_text_coverage_rate,7,0.755
explanation_audit_quality,all,decisive_attribute_full_text_coverage_rate,21,0.767
explanation_audit_quality,all,decisive_attribute_full_text_coverage_rate,42,0.785
explanation_audit_quality,all,decisive_attribute_full_text_coverage_rate,99,0.789
explanation_audit_quality,all,decisive_attribute_full_text_coverage_rate,123,0.809
explanation_audit_quality,all,counterfactual_coverage_rate,7,1.0
explanation_audit_quality,all,counterfactual_coverage_rate,21,1.0
explanation_audit_quality,all,counterfactual_coverage_rate,42,1.0
explanation_audit_quality,all,counterfactual_coverage_rate,99,1.0
explanation_audit_quality,all,counterfactual_coverage_rate,123,1.0
explanation_audit_quality,all,counterfactual_validity_rate,7,1.0
explanation_audit_quality,all,counterfactual_validity_rate,21,0.987627
explanation_audit_quality,all,counterfactual_validity_rate,42,1.0
explanation_audit_quality,all,counterfactual_validity_rate,99,0.994438
explanation_audit_quality,all,counterfactual_validity_rate,123,1.0
explanation_audit_quality,all,stable_decision_reason_row_rate,7,1.0
explanation_audit_quality,all,stable_decision_reason_row_rate,21,1.0
explanation_audit_quality,all,stable_decision_reason_row_rate,42,1.0
explanation_audit_quality,all,stable_decision_reason_row_rate,99,1.0
explanation_audit_quality,all,stable_decision_reason_row_rate,123,1.0
explanation_audit_quality,all,audit_reconstruction_rate,7,1.0
explanation_audit_quality,all,audit_reconstruction_rate,21,1.0
explanation_audit_quality,all,audit_reconstruction_rate,42,1.0
explanation_audit_quality,all,audit_reconstruction_rate,99,1.0
explanation_audit_quality,all,audit_reconstruction_rate,123,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.02,nspi_global_detected,7,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.02,nspi_global_detected,21,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.02,nspi_global_detected,42,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.02,nspi_global_detected,99,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.02,nspi_global_detected,123,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.05,nspi_global_detected,7,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.05,nspi_global_detected,21,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.05,nspi_global_detected,42,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.05,nspi_global_detected,99,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.05,nspi_global_detected,123,0.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.1,nspi_global_detected,7,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.1,nspi_global_detected,21,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.1,nspi_global_detected,42,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.1,nspi_global_detected,99,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.1,nspi_global_detected,123,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.15,nspi_global_detected,7,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.15,nspi_global_detected,21,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.15,nspi_global_detected,42,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.15,nspi_global_detected,99,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.15,nspi_global_detected,123,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.2,nspi_global_detected,7,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.2,nspi_global_detected,21,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.2,nspi_global_detected,42,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.2,nspi_global_detected,99,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.2,nspi_global_detected,123,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.25,nspi_global_detected,7,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.25,nspi_global_detected,21,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.25,nspi_global_detected,42,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.25,nspi_global_detected,99,1.0
nspi_compromised_signer_sensitivity_raw,flip_fraction_requested=0.25,nspi_global_detected,123,1.0
