source_table,metric_family,group,metric,n_seeds,seeds,mean,std,std_defined,min,max
full_grid_raw,detection_compromised_signer,defense=abac_reexec,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
full_grid_raw,detection_compromised_signer,defense=blockchain_style,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
full_grid_raw,detection_compromised_signer,defense=ct_log,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
full_grid_raw,detection_compromised_signer,defense=fabric_abac,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
full_grid_raw,detection_compromised_signer,defense=mutable_log,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
full_grid_raw,detection_compromised_signer,defense=nspi_drift,detection_rate,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
full_grid_raw,detection_compromised_signer,defense=signed_chain,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
full_grid_raw,detection_compromised_signer,defense=trusted_policy_oracle,detection_rate,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
adaptive_attack_summary,adaptive_compromised_signer,defense=abac_reexec,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
adaptive_attack_summary,adaptive_compromised_signer,defense=blockchain_style,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
adaptive_attack_summary,adaptive_compromised_signer,defense=ct_log,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
adaptive_attack_summary,adaptive_compromised_signer,defense=fabric_abac,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
adaptive_attack_summary,adaptive_compromised_signer,defense=nspi_drift_global,detection_rate,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
adaptive_attack_summary,adaptive_compromised_signer,defense=nspi_drift_per_station,detection_rate,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
adaptive_attack_summary,adaptive_compromised_signer,defense=signed_chain,detection_rate,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
explanation_audit_quality,xai_audit_quality,all,trace_complete_rate,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
explanation_audit_quality,xai_audit_quality,all,decisive_attribute_full_text_coverage_rate,5,7|21|42|99|123,0.781,0.020833,True,0.755,0.809
explanation_audit_quality,xai_audit_quality,all,counterfactual_coverage_rate,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
explanation_audit_quality,xai_audit_quality,all,counterfactual_validity_rate,5,7|21|42|99|123,0.996413,0.00547,True,0.987627,1.0
explanation_audit_quality,xai_audit_quality,all,stable_decision_reason_row_rate,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
explanation_audit_quality,xai_audit_quality,all,audit_reconstruction_rate,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.02,nspi_global_detected,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.05,nspi_global_detected,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.1,nspi_global_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.15,nspi_global_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.2,nspi_global_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.25,nspi_global_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.35,nspi_global_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.5,nspi_global_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.02,nspi_per_station_detected,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.05,nspi_per_station_detected,5,7|21|42|99|123,0.0,0.0,True,0.0,0.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.1,nspi_per_station_detected,5,7|21|42|99|123,0.6,0.547723,True,0.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.15,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.2,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.25,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.35,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_compromised_signer_sensitivity_raw,global_sensitivity,flip_fraction_requested=0.5,nspi_per_station_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
