arm,num_requests,seed,status,classified_ratio,high_or_classified_ratio,cross_jurisdiction_ratio,revoked_credential_ratio,approval_missing_ratio,allow_rate,deny_rate,escalate_rate,nspi_train_accuracy,cs_f25_signed_chain_detect,cs_f25_nspi_global_detect,cs_f25_nspi_per_station_detect,cs_f25_trusted_oracle_detect,cs_f25_n_flipped,cs_f25_global_js_divergence,cs_f10_signed_chain_detect,cs_f10_nspi_global_detect,cs_f10_nspi_per_station_detect,cs_f10_trusted_oracle_detect,cs_f10_n_flipped,cs_f10_global_js_divergence,cf_coverage,cf_validity,cf_sampled,n_stations,runtime_seconds
size_baseline,500,7,ok,0.276,0.704,0.786,0.084,0.446,0.108,0.422,0.47,0.934,0,1,1,1,111,0.025405,0,0,0,1,44,0.00308,1.0,1.0,150,36,3.31
size_baseline,500,21,ok,0.236,0.684,0.784,0.084,0.462,0.096,0.408,0.496,0.938,0,1,1,1,113,0.032035,0,1,0,1,45,0.004819,1.0,1.0,150,36,3.29
size_baseline,500,42,ok,0.23,0.642,0.74,0.086,0.444,0.134,0.426,0.44,0.92,0,1,1,1,108,0.020952,0,0,0,1,43,0.001931,1.0,1.0,150,36,3.41
size_baseline,500,99,ok,0.228,0.692,0.808,0.102,0.468,0.104,0.386,0.51,0.91,0,1,1,1,112,0.020144,0,0,0,1,44,0.001053,1.0,1.0,150,36,3.45
size_baseline,500,123,ok,0.262,0.666,0.758,0.132,0.468,0.132,0.416,0.452,0.872,0,1,0,1,108,0.012717,0,0,1,1,43,0.000133,1.0,1.0,150,36,3.42
size_baseline,1000,7,ok,0.266,0.691,0.779,0.078,0.441,0.111,0.401,0.488,0.945,0,1,1,1,222,0.030586,0,1,1,1,88,0.00468,1.0,1.0,150,36,4.06
size_baseline,1000,21,ok,0.238,0.674,0.783,0.097,0.471,0.111,0.399,0.49,0.949,0,1,1,1,222,0.025669,0,1,1,1,88,0.002777,1.0,1.0,150,36,4.03
size_baseline,1000,42,ok,0.219,0.673,0.765,0.079,0.422,0.113,0.409,0.478,0.953,0,1,1,1,221,0.030362,0,1,0,1,88,0.004742,1.0,1.0,150,36,3.94
size_baseline,1000,99,ok,0.234,0.695,0.806,0.101,0.47,0.101,0.397,0.502,0.958,0,1,1,1,224,0.03359,0,1,1,1,89,0.005658,1.0,1.0,150,36,3.88
size_baseline,1000,123,ok,0.236,0.665,0.774,0.116,0.463,0.125,0.412,0.463,0.929,0,1,1,1,218,0.024893,0,1,0,1,87,0.003102,1.0,1.0,150,36,3.89
size_baseline,2500,7,ok,0.2536,0.6864,0.78,0.0828,0.4428,0.1064,0.3988,0.4948,0.9632,0,1,1,1,558,0.033334,0,1,1,1,223,0.005918,1.0,1.0,150,36,5.56
