station_id,station_name,district_id,state_id,agency,synthetic_only
STATE_01_DIST_01_PS_01,Synthetic Police Station 1-1-1,STATE_01_DIST_01,STATE_01,POLICE,true
STATE_01_DIST_01_PS_02,Synthetic Police Station 1-1-2,STATE_01_DIST_01,STATE_01,POLICE,true
STATE_01_DIST_01_PS_03,Synthetic Police Station 1-1-3,STATE_01_DIST_01,STATE_01,POLICE,true
STATE_01_DIST_02_PS_01,Synthetic Police Station 1-2-1,STATE_01_DIST_02,STATE_01,POLICE,true
STATE_01_DIST_02_PS_02,Synthetic Police Station 1-2-2,STATE_01_DIST_02,STATE_01,POLICE,true
STATE_01_DIST_02_PS_03,Synthetic Police Station 1-2-3,STATE_01_DIST_02,STATE_01,POLICE,true
STATE_01_DIST_03_PS_01,Synthetic Police Station 1-3-1,STATE_01_DIST_03,STATE_01,POLICE,true
STATE_01_DIST_03_PS_02,Synthetic Police Station 1-3-2,STATE_01_DIST_03,STATE_01,POLICE,true
STATE_01_DIST_03_PS_03,Synthetic Police Station 1-3-3,STATE_01_DIST_03,STATE_01,POLICE,true
STATE_01_DIST_04_PS_01,Synthetic Police Station 1-4-1,STATE_01_DIST_04,STATE_01,POLICE,true
STATE_01_DIST_04_PS_02,Synthetic Police Station 1-4-2,STATE_01_DIST_04,STATE_01,POLICE,true
STATE_01_DIST_04_PS_03,Synthetic Police Station 1-4-3,STATE_01_DIST_04,STATE_01,POLICE,true
STATE_02_DIST_01_PS_01,Synthetic Police Station 2-1-1,STATE_02_DIST_01,STATE_02,POLICE,true
STATE_02_DIST_01_PS_02,Synthetic Police Station 2-1-2,STATE_02_DIST_01,STATE_02,POLICE,true
STATE_02_DIST_01_PS_03,Synthetic Police Station 2-1-3,STATE_02_DIST_01,STATE_02,POLICE,true
STATE_02_DIST_02_PS_01,Synthetic Police Station 2-2-1,STATE_02_DIST_02,STATE_02,POLICE,true
STATE_02_DIST_02_PS_02,Synthetic Police Station 2-2-2,STATE_02_DIST_02,STATE_02,POLICE,true
STATE_02_DIST_02_PS_03,Synthetic Police Station 2-2-3,STATE_02_DIST_02,STATE_02,POLICE,true
STATE_02_DIST_03_PS_01,Synthetic Police Station 2-3-1,STATE_02_DIST_03,STATE_02,POLICE,true
STATE_02_DIST_03_PS_02,Synthetic Police Station 2-3-2,STATE_02_DIST_03,STATE_02,POLICE,true
STATE_02_DIST_03_PS_03,Synthetic Police Station 2-3-3,STATE_02_DIST_03,STATE_02,POLICE,true
STATE_02_DIST_04_PS_01,Synthetic Police Station 2-4-1,STATE_02_DIST_04,STATE_02,POLICE,true
STATE_02_DIST_04_PS_02,Synthetic Police Station 2-4-2,STATE_02_DIST_04,STATE_02,POLICE,true
STATE_02_DIST_04_PS_03,Synthetic Police Station 2-4-3,STATE_02_DIST_04,STATE_02,POLICE,true
STATE_03_DIST_01_PS_01,Synthetic Police Station 3-1-1,STATE_03_DIST_01,STATE_03,POLICE,true
STATE_03_DIST_01_PS_02,Synthetic Police Station 3-1-2,STATE_03_DIST_01,STATE_03,POLICE,true
STATE_03_DIST_01_PS_03,Synthetic Police Station 3-1-3,STATE_03_DIST_01,STATE_03,POLICE,true
STATE_03_DIST_02_PS_01,Synthetic Police Station 3-2-1,STATE_03_DIST_02,STATE_03,POLICE,true
STATE_03_DIST_02_PS_02,Synthetic Police Station 3-2-2,STATE_03_DIST_02,STATE_03,POLICE,true
STATE_03_DIST_02_PS_03,Synthetic Police Station 3-2-3,STATE_03_DIST_02,STATE_03,POLICE,true
STATE_03_DIST_03_PS_01,Synthetic Police Station 3-3-1,STATE_03_DIST_03,STATE_03,POLICE,true
STATE_03_DIST_03_PS_02,Synthetic Police Station 3-3-2,STATE_03_DIST_03,STATE_03,POLICE,true
STATE_03_DIST_03_PS_03,Synthetic Police Station 3-3-3,STATE_03_DIST_03,STATE_03,POLICE,true
STATE_03_DIST_04_PS_01,Synthetic Police Station 3-4-1,STATE_03_DIST_04,STATE_03,POLICE,true
STATE_03_DIST_04_PS_02,Synthetic Police Station 3-4-2,STATE_03_DIST_04,STATE_03,POLICE,true
STATE_03_DIST_04_PS_03,Synthetic Police Station 3-4-3,STATE_03_DIST_04,STATE_03,POLICE,true
