event_sequence,event_id,timestamp_utc,request_id,requester_officer_hash,requester_station_id,target_record_hash,decision,primary_reason_code,policy_version_evaluated,request_content_hash,decision_hash,explanation_hash,audit_anchor_hash,event_payload_hash,previous_event_hash,event_hash,log_signature,signature_algorithm,audit_log_version
1,063e07eb08f5289d718787d5,2026-05-27T00:13:00Z,REQ-000001,d57f9cfca107b054602e3afe,STATE_02_DIST_04_PS_03,ebee7338989614ba92eb1548,deny,DENY_INACTIVE_CREDENTIAL,P-2026-05-STEP2-ORACLE,06331a153b84763cbb5d81ee4143a49dc252a085d642bca6fcb83bda31f24d3b,5528c8cfdb92c23feff0a56edb96a5b0071fccb3535aaebe53166e6a20b55823,f0bd4f3b97a4df2217c29b442e77234b44dd0fc780dcfdbcd5685a3cdd411fe0,6213a85bcb56f5cc83499ed6abbbd680a56b26fda54b95ecca1884e287c2e2aa,2862a9b232506fe86cd2b8bc707ced3ce7328f8388f1ac679490e19a730637eb,GENESIS,3bc4781e7cbe0e08d94bb9a81a2382d8068fdd7650045c8ba80f0b7cb95c853e,04b006ea65834337213d332a0fb220f30ea0466adb3bf6187203233d70eb32fb,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
2,b357df6dbe7b64512eeceba1,2026-05-27T00:14:00Z,REQ-000002,f1cd31d43c526f5a63bbd87e,STATE_01_DIST_03_PS_01,86cf9537924a3bb27fd6a3c9,allow,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,P-2026-05-STEP2-ORACLE,475931ac6bcaa3dddfe1961e8c286934d2c3e75c2213c230eac98e13726cdd33,958313998dd17dc98714b7487ac2861fdb9eab438199ab6019a1a41b337315d9,0a76906011c17bd9b6acb25d53052d67244217f47a7f4cbb88dd16133eee5a02,060ff8a37d68ccba79024e45a750ecde8bee5b201bebe9702e8e1a1e4d9235ed,ace47ece968e3ad226bf128675079c0e3f4caf07ec4cdbbb335cd8caf21f053a,3bc4781e7cbe0e08d94bb9a81a2382d8068fdd7650045c8ba80f0b7cb95c853e,707604f8bbf2ab101aca4f57b26c7acb6607463a45684c54db8895ce1ad2abec,c124b9c45d1ee84425510e678d3e94170476717ca5c55c860038ab4cc2c139bf,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
3,ebafd6d41bd247c62bbccf8e,2026-05-27T00:36:00Z,REQ-000003,0333fdd2d35c528a38a1dbe4,STATE_01_DIST_02_PS_02,d8c9df09b1ba5408e3849067,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,P-2026-05-STEP2-ORACLE,dabd8fc23182abf0833b6e4ebc8b68d941decc5cca28058d97bb7c27eb9b3f50,bed80e6e22f6f29f3c8f3c1cc0cbc710eda974bc98f3efbdff6162a3e89b2f13,a444f106a40bb84e1d6409199d0652f8f60f811305dd769cb627d4bbf480b281,bc59cbd36c1cebd6d6b4ca6404c217f2ae333d0519ee6cb3a9d7bcafa30feab3,8d746c8aa5bfb626cb1fbad9c83ae2d743d1466f068c5e685111888735ad9ea1,707604f8bbf2ab101aca4f57b26c7acb6607463a45684c54db8895ce1ad2abec,ace68e90b8fc34317cec19daece93ddfabd2e7f32654a46ad0de612fd3eb3c96,56119c9ba35a2bfc3de9ee116230ce7d4c4eb790e243646e2114eab4601ee574,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
4,aff7ceb86f5835be184601f9,2026-05-27T00:36:00Z,REQ-000004,4bb363d085866d6dbe19f005,STATE_01_DIST_03_PS_02,fb5fe9b5c0b2f6fb1de8118b,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,P-2026-05-STEP2-ORACLE,a855cb436b05bc68a5cffa7940b82dfb1ca4da43222814cb521e6cef4aecf70d,521c34e9200d93b2ed38ab06001e30bd735bfac04440b4d91dbd86f34847ebca,3b39d6f59eb50aaec9e5dab73aaea2e32268ee86d8b3b12734dca814f3d30f5f,a56726da3237cbde2a1296cca3dcd888fb104148794fbd600b2911a9d776bdff,570bd00f6cdb67a84bb9553e3eb4b86b945e401ca7253cbfb844c30ac2b3deef,ace68e90b8fc34317cec19daece93ddfabd2e7f32654a46ad0de612fd3eb3c96,15a3371e489a7a13838031e5cd45342c4be43e28ea9b6017be83141615aafb37,8c576f8db7656b3dffbc4e71cb42b9bdade81d7e4a5fffab3e9ec7c02c11b0c2,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
5,7d5ebd9fc75913057a578bdc,2026-05-27T00:45:00Z,REQ-000005,b1ddf55c2af537d97ad1287a,STATE_03_DIST_04_PS_03,04bb3bbec77f28b17144322b,deny,DENY_STALE_CASE_ASSIGNMENT,P-2026-05-STEP2-ORACLE,08f8d0ec29700f7843fea41ca03ec9a4e17dbbdfce33cad9dc125f79fa44537c,b5641cae8b4de6510a64815e6ab40cbbc5def96dddb8c066297412f566456bd6,dd06e583ee11b7fc10c3205face8414b1cda8cb7a4aaec2392e8246fca9a7230,21258df6b70e509a6172624a40d15e21a70ffcd0dbbd7041ae163ad7104c2942,6f1d15b7c11a56f5074b23b1d33c6d69d1c6b2441a45bdb4a7fb32b79322ddf8,15a3371e489a7a13838031e5cd45342c4be43e28ea9b6017be83141615aafb37,9869777b019e2f2b9051f9f858c1d53f7a68ad0daeaa6395cc7bbb3aa1265e9d,9359e52336c9a6b45eb3a7a74438b2420ef7fc6856e3cb2ac6f1422d1cc5c9aa,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
6,322f4b2e4e2e048ccdf71690,2026-05-27T01:36:00Z,REQ-000006,f8755a48fce2988e7e892881,STATE_01_DIST_01_PS_01,65c13ca172c0e8f26de94b13,escalate,ESCALATE_EMERGENCY_REVIEW_REQUIRED,P-2026-05-STEP2-ORACLE,887bfd919eb2c574be54c283f889720a1e073580d07c26287a641e082845cb10,364b6b340b238e3f270d6e44ccc4d1c7af670b045b59e6cdff9def2ad8ace41f,ad503725a0156c5f5149579d6cda2f102fbb9a844acf96f72dabd066d40bc790,47686a18385af4200883bc8d3355bf24cc0cb4d3887a2712b93e0e1eb9950dbf,3c0e63bd0868d37850c8aa1e9dbd672feab568c5485d1ecdcc665380276990cf,9869777b019e2f2b9051f9f858c1d53f7a68ad0daeaa6395cc7bbb3aa1265e9d,876fc3f504552720bb23eb1ca025863344e0dd71805a822c3e7e511d4a894d14,8243710303222b59d3abf09fc6a05d599f9ef6086fa26edac9a46c47f6b12ad6,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
7,2c1ea4870cbeff70cf4d0997,2026-05-27T01:17:00Z,REQ-000007,a2651cd5c21b20cc4d4edc22,STATE_02_DIST_04_PS_01,efc254275269a6226b4fd601,escalate,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,P-2026-05-STEP2-ORACLE,f74bdefc5d43e62444100fc308aaf10a7f1dfabacb93de064cb7f44e8c4c0032,a21de44ceedfd19e1b4ff64c2b28ff5e580eab1c23fb33d762c1579ba95fdcd0,2e89689f16f90510e3b5822aeddd44dd93095938031ce14ce2a72052d73329c7,44dc0f7f7ce4b9488dbcca30165bffb3d3478a74015870eb2c74ce762f3001e9,788cbfb78720074a263cc2700eb6714c56b5ae272f1d5c6550526bd89a7bc018,876fc3f504552720bb23eb1ca025863344e0dd71805a822c3e7e511d4a894d14,80c001a43795139c3255fe0a57900f6642092b26e028912709bb9aad7329a1d2,c09edee98827a49730dc5e1cb67fbbe8d11289240b0b666fec508c7b5c1b8f3d,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
8,9221f3e6c8b4d0d9a19ab6cb,2026-05-27T01:12:00Z,REQ-000008,81023882823dba8b6e04e6a8,STATE_03_DIST_02_PS_03,6bcf6ec8e79fb5cd0b4d23ea,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,P-2026-05-STEP2-ORACLE,7c9cd7f3d13fc1c966250da28b12d32514b78afacaf30b81084947dbed2d897c,76eac6f1a01cefbe731e3c6c439ea24a28b8789e395a23e4e23a61c58a95fded,b38df0e20391fa25fdcacafc82cf0da3cca9b4c3296681e99c6e6173d0185462,46269d0534860a3cd6327625d2dc5978e4d6f29d0f25e2ece4703a7bfb9083bb,83fdd27539f731fc75f03a3950c34e6326d1a91fd1202cd3b62b89b335b564ca,80c001a43795139c3255fe0a57900f6642092b26e028912709bb9aad7329a1d2,74ecd667aef41b92d39aef4def7927d0b6699ff6b7acf959c64aca606299f44b,ec0d9ef8d82a8a5eae4843cd3c0967fd125d6c1a065542fcfa33334edf645836,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
9,0b34638e09db3679f406c16d,2026-05-27T00:54:00Z,REQ-000009,fb4c90a703ac874dae2f1454,STATE_01_DIST_02_PS_01,8cd04623158a527d67db5be4,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,P-2026-05-STEP2-ORACLE,20ac18d72e5a8052738e3ec97a38e0df173de20234b9a12a020f9f42b8b4c2f1,41189bb466713ed3d20d1749739355cefff37b758cf0aa464f27aaab02900850,c8227d45095c5e5e6ae7a1f80b3f7e686953352b411af14ed9399477cbc0bd83,31468b4720996a01a6f71043da2301262da4cdc7cbef424ae73b8f386c719307,ed2027b6cff423f7174031bab26d5031ffbf93d41d1c3ddd7f1ae2b384ad22e6,74ecd667aef41b92d39aef4def7927d0b6699ff6b7acf959c64aca606299f44b,379bbfe5b424ed6cfcea14d7bc4f1b49068948cc728a144119ab4655dedd392c,b665a8629170df24b8e394c6164a6e9f8347c4cfd7bff9aca80b61ac5ec10f43,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
10,388a038292c4d2fc5b45bbf2,2026-05-27T02:30:00Z,REQ-000010,4f04697319f636cd795e5d1b,STATE_03_DIST_04_PS_03,7d60c16d6ecbadcdbdfa7d7b,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,P-2026-05-STEP2-ORACLE,41a1cde713d1c91f7c981e4f1f63f8c3d79e67afb4d1f1db0509f9b84df63e76,748332c3258afc3655ae7c0d68784c2451e30fb625b2d24ffef11a5fa1c0a31b,ecd29a4546d3c216b85246d167ba4c5a0c450d4d4d1e26b53b7f7a9f64ac1ac1,41fe57162c021dd5e05cdddbc3af2fd07e19f136ded86d06cecfb2c6c1de344b,58993a90747d0763a34aeeaddcddf9aad8ca5842a7fe9075573c07c538887885,379bbfe5b424ed6cfcea14d7bc4f1b49068948cc728a144119ab4655dedd392c,c7962ccca9f04292fc6d9addc83533d967e884d916fb99cc1da2cc142543816e,ae44dfa1bbdbc52a48520ef62b626fc672aae917eada64ca4df2301d35d65a2b,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
