method_id,oracle_decision,predicted_decision,count
abac_pbac_blockchain_style,allow,allow,113
abac_pbac_blockchain_style,deny,deny,409
abac_pbac_blockchain_style,escalate,escalate,478
abac_pbac_mutable_log,allow,allow,113
abac_pbac_mutable_log,deny,deny,409
abac_pbac_mutable_log,escalate,escalate,478
abac_pbac_signed_hash_chain,allow,allow,113
abac_pbac_signed_hash_chain,deny,deny,409
abac_pbac_signed_hash_chain,escalate,escalate,478
rbac_mutable_log,allow,allow,111
rbac_mutable_log,allow,deny,2
rbac_mutable_log,deny,allow,230
rbac_mutable_log,deny,deny,179
rbac_mutable_log,escalate,allow,426
rbac_mutable_log,escalate,deny,52
seba_xai_full,allow,allow,113
seba_xai_full,deny,deny,409
seba_xai_full,escalate,escalate,478
