event_ref_hash,request_commitment_hash,requester_context_hash,record_pointer_hash,target_record_commitment_hash,policy_context_hash,decision_hash,explanation_hash,pointer_commitment_hash,payload_hash,ciphertext_hash,block_number,block_hash,policy_version_evaluated,minimization_profile
7041c14494495f0e47267afde4708e2300b848c339c7a27477a462783570a13f,06331a153b84763cbb5d81ee4143a49dc252a085d642bca6fcb83bda31f24d3b,43c4e2ca5494648d3dae18c81c8664ae5805728f25fe413e0245e7191b497411,2de635f53fa56c950de137ef6800bf5abf43032318fd3d56526a372b0c0383f6,ebee7338989614ba92eb1548,12aee0ecf2005824c2781c8e6d206429fe152cf59d61a255c1b65b1466c78fe4,5528c8cfdb92c23feff0a56edb96a5b0071fccb3535aaebe53166e6a20b55823,f0bd4f3b97a4df2217c29b442e77234b44dd0fc780dcfdbcd5685a3cdd411fe0,918faca38bacbc632addd6e0500a048e919d45446085f47d0ef0fe267e56df92,a2442cd1b07b7d697a72fce383002c7874017b441bad6ffaf1b3c61537c5588f,fa45e1768efdafddfa7ac53d4cc100b3442f63380cf9930f0a283684f235e2eb,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
af3adafc991938b8b65922e429e11b6867bf1f388518a9916579b16c76372207,475931ac6bcaa3dddfe1961e8c286934d2c3e75c2213c230eac98e13726cdd33,4d58343557da7cf75f103c6ad6bcf40684a2590bb8eb89d6c0e72ef2f0a915f9,aebe97196a9f1dd5f5bcf287c20ef0dd3239788060359f2f09d39026bdfebae1,86cf9537924a3bb27fd6a3c9,33a6d47263ec616f32fffa333be54d5856969cfd3d4cf299ddb34efa9f7c2019,958313998dd17dc98714b7487ac2861fdb9eab438199ab6019a1a41b337315d9,0a76906011c17bd9b6acb25d53052d67244217f47a7f4cbb88dd16133eee5a02,0a53cd9f64037dfd903bf8f7c3124caff40d82d36787050fb1d2831047bb4e02,39bcbf6c3960e10e5f45ffc2efd4df18271e1ea2748914d106787b96abc4dcbf,36bc2ed864f8213ba8e4f2214463a0050fa6e21101745412c727085cf5a3f961,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
dd55475a04004fdb94661b5de1fbd666fd3c61ae871ac5251f6c7079e8588b93,dabd8fc23182abf0833b6e4ebc8b68d941decc5cca28058d97bb7c27eb9b3f50,694916834c0d011c9079aa7c9bbb067d4aaabbef36753201603f7071712699ae,1108b7dd632367db4c24d6d04ef1c8cf9aa65ec010d85959809765330666f4d4,d8c9df09b1ba5408e3849067,47a074be74a8c0a3c460e1c6a4e1b1880719355e54c9c5da843d999a92e26dba,bed80e6e22f6f29f3c8f3c1cc0cbc710eda974bc98f3efbdff6162a3e89b2f13,a444f106a40bb84e1d6409199d0652f8f60f811305dd769cb627d4bbf480b281,905a1abc2ce86a5d30fa7895f73681eccc3cb6b80cfeb98123853bf8579da731,4b6ac19dd370ba803ecacb1cf76818e95e6a02d1a2833e492850cdd5f75336d6,ec828f9a041246f129cb9148a86701e27d45677e0dfe2550a891c318b0da3635,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
100b4f43d884488d8e2db2e000d7269766f83c5461bf8d3df914ed011c69bf8e,a855cb436b05bc68a5cffa7940b82dfb1ca4da43222814cb521e6cef4aecf70d,83120a352611e271f4290b899cee085c231ab14b213f4421d7b4e4470451848f,e9d90e81b93785dc8ae0b1d262871965230993c70640987a96a1e197ab232784,fb5fe9b5c0b2f6fb1de8118b,02274dc6f2c7f5027d4379c9133c95deb09b38bb12d49a208441bb1815379bd9,521c34e9200d93b2ed38ab06001e30bd735bfac04440b4d91dbd86f34847ebca,3b39d6f59eb50aaec9e5dab73aaea2e32268ee86d8b3b12734dca814f3d30f5f,629f4e75ff8f5a3e761bad63208edcb66ab9f9c41255f064c6450872502c098d,d7a65a9480f1adac3f8a56afcefea37803690af9f10f0b74fddb90ddb390095c,b5a9b5016a079437856de0c62c5e1822b38e429e8aaa4413e864d40a1c2d918a,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
0dbbaa20abff149e2672adde35579a3c33e831fd801def9198906e47c9a93b09,08f8d0ec29700f7843fea41ca03ec9a4e17dbbdfce33cad9dc125f79fa44537c,442650eb86b22c0d7d119383db28248a6fc711838a50d3ac7fd5c4221efae7f6,9b7e9e8b62859c8e86856e6a3747ab9275ae963ac7220a307111dd61d3e99934,04bb3bbec77f28b17144322b,2b3a3817e3733eab1d279a74d2225caf19af66df0b8bc68c84f078d951bf5d81,b5641cae8b4de6510a64815e6ab40cbbc5def96dddb8c066297412f566456bd6,dd06e583ee11b7fc10c3205face8414b1cda8cb7a4aaec2392e8246fca9a7230,b7e3de29d132388e1096d7530ad44c0b97b2c4ccea24bc6727ddf0d13cc7f9e6,c88d706dbc65cb2e90311425c4943172939a3c753320b160193b1ba1b11a1bb6,c08167a7a6ae4d6a1be6c12d8f622f604ae0871e832bb694dc9a5b7ed3390931,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
ffc0c7bf3612008e2f02e69ebdfef75c84367c18dc9cf52889e29b95b0d9fa82,887bfd919eb2c574be54c283f889720a1e073580d07c26287a641e082845cb10,71afef9a9ebd38b79d651dcdac2289f6e62b68c47183498bcdd36661004edb96,306e8ae507706fb158babd68c3a0cc5cae7e48011f68f15906284b0b285f1978,65c13ca172c0e8f26de94b13,e6fb3333f3d11e073af932c47c549145fd0825c21cbece0cc0efddeac508d124,364b6b340b238e3f270d6e44ccc4d1c7af670b045b59e6cdff9def2ad8ace41f,ad503725a0156c5f5149579d6cda2f102fbb9a844acf96f72dabd066d40bc790,c73eae05625e847469003055707e8b7a2a96f2464011e451113c0f83e96fdacd,2de6ab7fbe98af5b296569f7f9711a54afc795c4acfe7b14fb749cae1061c674,511a61306f8414318edb2aedf2c88953b04817154ead346af4daae32d018a4ad,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
6589463fe860281439e24efdb4678658f9b99f76f558a637b081a69bd43ef736,f74bdefc5d43e62444100fc308aaf10a7f1dfabacb93de064cb7f44e8c4c0032,cd62c5b72aa9f849baf9418d7db7156e93379d97fc1c4aae1cfe4e7eb3219818,ab57015d721877db9e86d04a249a12b0245282c92339233cf46b705b2e144ecc,efc254275269a6226b4fd601,0f734d55cd796d3a0549d7d9cff8be7bcd501b6db1310fe6c67d2b70d81e85b1,a21de44ceedfd19e1b4ff64c2b28ff5e580eab1c23fb33d762c1579ba95fdcd0,2e89689f16f90510e3b5822aeddd44dd93095938031ce14ce2a72052d73329c7,e9eedbb4c226976c8468c5f9f6679af13997de9f8a9b50cc004527984ce23f92,5c0c265557546d591987ec0f78cdf966c6916397a5ca93cdd47c6a275a21663d,26a2ec27edc171e0c6ae2089ff0174467dd38b08a57507286ff8c51351cf743f,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
50b4402810b348680395557e88b9ce2c66460dc6c0d09cc754b248f83a391541,7c9cd7f3d13fc1c966250da28b12d32514b78afacaf30b81084947dbed2d897c,9934ae32edf72ad2c62587c848c030f5e0a10918330e55f953dc1e561356a64d,83aab6295f611d1d602be48d8005cf4b2a008eb8cd705bba5f717b4211b8a5a3,6bcf6ec8e79fb5cd0b4d23ea,aa8ca168a299405ebdf73e0e5a9959f3e1a2754f7a74e8770b96a74969dc13d2,76eac6f1a01cefbe731e3c6c439ea24a28b8789e395a23e4e23a61c58a95fded,b38df0e20391fa25fdcacafc82cf0da3cca9b4c3296681e99c6e6173d0185462,50120a3585f2ec42c4a1fa9ff094b440338a7c1ad0efeadbeb5d56c7e930a64d,3abed29ca27d4785b5124f0f90270b9771cb431ef0b2e940340b7c89f1094e65,efd9f7064e2c1b025da26351d7260afe518c2d8afd7c512597588f12c423835d,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
9e753c3fe65a4e4d848692210c8f3b50cddc70f0769669e7629c7b50fde88f5e,20ac18d72e5a8052738e3ec97a38e0df173de20234b9a12a020f9f42b8b4c2f1,33fbe9cec5fc1cf0368218a8dcb3111f1fcb7ff99fb316d165a42e67aec72d08,8bd6e1d67c4332edd0ab07bf42e1ce0648069c23117bd86e746d32de6a45619e,8cd04623158a527d67db5be4,02274dc6f2c7f5027d4379c9133c95deb09b38bb12d49a208441bb1815379bd9,41189bb466713ed3d20d1749739355cefff37b758cf0aa464f27aaab02900850,c8227d45095c5e5e6ae7a1f80b3f7e686953352b411af14ed9399477cbc0bd83,05b22b74c30c8acd67cfebbf6983172c1c49ba3646c4cad429638df2f67cf21b,2d6aab11447d9776173db1b5d38fb5640b9aab6ad72125f667a363f9cd9f5732,96ca80d3db2fb97258402d8d66ab7151ad6d4e18e91ff06b904e44fe5b7eb7e5,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
1b92c2a7d830f2e07f16fa87a63c3d6aeddded0d65b6a895e93ae2c44b25656c,41a1cde713d1c91f7c981e4f1f63f8c3d79e67afb4d1f1db0509f9b84df63e76,ce9d733c6deded0f824b1f1a28c696295d752bc46f0ffbaed95b4fb36ad193c7,3c97e2d5b608a38e1e792c52a43f1c684e737ffa2cdb8cae20bbe1e23a45aaf9,7d60c16d6ecbadcdbdfa7d7b,a560a119129863395c49a3d131174e928448cd770db925d78215df3298d20429,748332c3258afc3655ae7c0d68784c2451e30fb625b2d24ffef11a5fa1c0a31b,ecd29a4546d3c216b85246d167ba4c5a0c450d4d4d1e26b53b7f7a9f64ac1ac1,78de994a29810ff60fb9eab833e3bf54bddc80d16081602ac0d0549631ca04f9,5cae78c63659442b94a1d9216138dcd543cea333b9e7330a7c87329307d2e4f9,8819f00e42ecdf97ba37f318eb3f55d99bad545be4dc9e85a75f5dfc86d24455,1,25956a462e692962509682da0d828e8068b3cd4e05b3b881e9758433238ed7b1,P-2026-05-STEP2-ORACLE,SEBA-XAI-MIN-METADATA-V1
