record_id,record_hash,case_id,case_type,originating_station_id,district_id,state_id,record_type,sensitivity_level,victim_flag,witness_flag,juvenile_flag,evidence_media_flag,sealed_status,retention_status,owner_agency,raw_record_included,synthetic_only
REC-000001,90c44e5b5f4485801e5b8a18,CASE-00118,VIOLENT_CRIME,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,COURT_SUBMISSION,MEDIUM,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000002,768842f55be1e7466a34dc2d,CASE-00353,JUVENILE_PROTECTION,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,FIR_SUMMARY,LOW,false,false,true,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000003,c3ad82ff84dfe0275c582cf5,CASE-00088,JUVENILE_PROTECTION,STATE_01_DIST_01_PS_01,STATE_01_DIST_01,STATE_01,FIR_SUMMARY,LOW,false,false,true,false,OPEN,ARCHIVED,POLICE,false,true
REC-000004,6628e2304732b441ca775171,CASE-00090,GENERAL_THEFT,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,JUVENILE_RECORD,CLASSIFIED,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000005,73a955fe3375c918a3bfc978,CASE-00041,CYBER_FRAUD,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,COURT_SUBMISSION,HIGH,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000006,698b4ee210401c7be744cc1d,CASE-00225,JUVENILE_PROTECTION,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,EVIDENCE_MEDIA,CLASSIFIED,false,false,true,true,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000007,8ccbd9b70dff9bfa5bc9f0dd,CASE-00266,MISSING_PERSON,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,FORENSIC_REPORT,HIGH,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000008,82f3a0dc6cf5506dd0eab4e1,CASE-00045,CYBER_FRAUD,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,FORENSIC_REPORT,HIGH,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000009,63c910ce62e656e7950b3fc5,CASE-00098,MISSING_PERSON,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,STATE_01,FIR_SUMMARY,LOW,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000010,1453d16ff68c935811a922d5,CASE-00051,VIOLENT_CRIME,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,FORENSIC_REPORT,MEDIUM,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
