request_id,timestamp_utc,scenario_type,requester_officer_id,requester_officer_hash,requester_role,requester_rank_level,requester_agency,requester_station_id,requester_district_id,requester_state_id,requester_clearance_level,requester_credential_status,case_assignment_status,target_record_id,target_record_hash,target_case_id,target_case_type,target_record_type,target_station_id,target_district_id,target_state_id,target_owner_agency,record_sensitivity_level,victim_flag,witness_flag,juvenile_flag,evidence_media_flag,sealed_status,retention_status,same_station,same_district,same_state,cross_jurisdiction,purpose,action,emergency_flag,court_or_prosecutor_request_flag,approval_token_status,time_window,network_status,request_channel,policy_version,raw_record_included,synthetic_only,request_content_hash
REQ-000001,2026-05-27T00:10:00Z,cross_jurisdiction_sensitive,OFF-0078,006fa23a737e20e3625debb8,Sub-Inspector,3,POLICE,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000008,82f3a0dc6cf5506dd0eab4e1,CASE-00130,VIOLENT_CRIME,EVIDENCE_MEDIA,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,POLICE,CLASSIFIED,false,false,false,true,OPEN,ACTIVE,false,false,true,true,SUPERVISION,VIEW,false,false,MISSING,NIGHT,DEGRADED,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,7e347a1136438f85969d77bd39fba0d6ef7e710f3e1d452020bfde7c0d6cbf08
REQ-000002,2026-05-27T00:30:00Z,revoked_credential,OFF-0192,3d55943653d0579351b1bb1c,Constable,1,POLICE,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,STATE_01,LOW,REVOKED,NOT_ASSIGNED,REC-000361,5ca701958e9a1da7521ce158,CASE-00240,MISSING_PERSON,EVIDENCE_MEDIA,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,POLICE,CLASSIFIED,false,false,false,true,OPEN,ARCHIVED,false,false,false,true,INVESTIGATION,VIEW,false,false,MISSING,BUSINESS_HOURS,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,029fcff8348150b18cf61a2da0127e6e4a97ae30092dafa3227693b5a7329749
REQ-000003,2026-05-27T00:09:00Z,normal_in_jurisdiction,OFF-0217,fdc97c18ce18a70d495aa065,Sub-Inspector,3,POLICE,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,MEDIUM,ACTIVE,ASSIGNED,REC-000034,9917dc83548405dcdfa48501,CASE-00243,WOMEN_CHILD_SAFETY,FIR_SUMMARY,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,POLICE,LOW,true,false,false,false,OPEN,ACTIVE,true,true,true,false,INVESTIGATION,VIEW,false,false,NOT_REQUIRED,AFTER_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,a417461e52365ec084d420110a714fd13272f7f9617461573b3277336a264fbe
REQ-000004,2026-05-27T01:08:00Z,emergency_override,OFF-0017,81f27590363500d418d0fc7b,Inspector,4,POLICE,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000449,5cffb8dc75d9d131aa574db1,CASE-00090,CYBER_FRAUD,WITNESS_STATEMENT,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,POLICE,HIGH,false,true,false,false,OPEN,UNDER_REVIEW,false,false,true,true,EMERGENCY_RESPONSE,VIEW,true,false,PRESENT_VALID,BUSINESS_HOURS,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,82ab0990822d43faa12420ce15bb1b42a69c84b8c42912ab2c4a5f80a58b7917
REQ-000005,2026-05-27T00:20:00Z,sealed_record,OFF-0123,72950e6372134a5838550d42,Sub-Inspector,3,POLICE,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000529,b1cba9b450fb8d5bb630c5a5,CASE-00083,JUVENILE_PROTECTION,CYBERCRIME_COMPLAINT,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,POLICE,HIGH,false,false,true,false,SEALED,ACTIVE,false,false,false,true,PROSECUTION_REVIEW,VIEW,false,true,PRESENT_VALID,AFTER_HOURS,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,9cfe0e8a103cbd92e6f1d4f7865429629129243c1ba7ed091fb77bb0d30ea869
REQ-000006,2026-05-27T01:00:00Z,stale_case_assignment,OFF-0193,4be2947fa44b5e03c9285de0,Inspector,4,POLICE,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,MEDIUM,ACTIVE,STALE,REC-000458,d3396f3cbd7762ada5e22661,CASE-00123,NARCOTICS,CASE_DIARY,STATE_01_DIST_01_PS_01,STATE_01_DIST_01,STATE_01,POLICE,CLASSIFIED,false,false,false,false,OPEN,ACTIVE,false,false,false,true,INVESTIGATION,DOWNLOAD,false,false,MISSING,BUSINESS_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,523dec66016bcbea1a8093e90929c925d76e1ed5fe2c4827fe47d8cd703d1bd2
REQ-000007,2026-05-27T00:42:00Z,sealed_record,OFF-0044,e35d3d5ab37a57023a757cf4,Sub-Inspector,3,POLICE,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000491,0a821995dd018501d97bf96f,CASE-00225,FINANCIAL_CRIME,FORENSIC_REPORT,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,POLICE,HIGH,false,false,false,false,SEALED,ACTIVE,false,false,false,true,INVESTIGATION,APPROVE,false,false,MISSING,BUSINESS_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,b92a7991c01e527c5e52082fc107be93219ee87b091d1406209037e9915c9269
REQ-000008,2026-05-27T02:08:00Z,stale_case_assignment,OFF-0018,f8755a48fce2988e7e892881,Senior Superintendent,6,POLICE,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,CLASSIFIED,ACTIVE,STALE,REC-000599,c12b0ac38401f3270a04423b,CASE-00179,CYBER_FRAUD,CASE_DIARY,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,POLICE,HIGH,false,false,false,false,OPEN,ACTIVE,false,false,false,true,INVESTIGATION,VIEW,false,false,MISSING,BUSINESS_HOURS,DEGRADED,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,7200c9e4d475ce83c27125a0ae20fede24ca65b74a5f1cf0be528aa5c51adf45
REQ-000009,2026-05-27T01:57:00Z,random_context,OFF-0193,4be2947fa44b5e03c9285de0,Inspector,4,POLICE,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000281,66184ff814d37e76579d534f,CASE-00102,NARCOTICS,WITNESS_STATEMENT,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,POLICE,HIGH,false,true,false,false,OPEN,ARCHIVED,false,false,false,true,EMERGENCY_RESPONSE,VIEW,false,false,NOT_REQUIRED,BUSINESS_HOURS,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,4f4a18eafba6d16ab4aa6949a9b215d07ca8d2938a03817d3d123a56cb715aa6
REQ-000010,2026-05-27T01:50:00Z,sealed_record,OFF-0023,7dd10e346a2e773cbf9da071,Constable,1,POLICE,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,LOW,ACTIVE,NOT_ASSIGNED,REC-000580,6402bcc2f4170943bbb25e00,CASE-00205,GENERAL_THEFT,FORENSIC_REPORT,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,POLICE,CLASSIFIED,false,false,false,false,SEALED,ACTIVE,false,false,false,true,PROSECUTION_REVIEW,VIEW,false,true,MISSING,BUSINESS_HOURS,DEGRADED,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,4ee780e3a5410d278dc34c3af7bb9e4ab42acb09f47fb6424c5e0bffa18f056f
