case_id,case_type,case_status,originating_station_id,district_id,state_id,sensitivity_hint,assigned_officer_ids,synthetic_only
CASE-00001,NARCOTICS,COURT_PENDING,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,MEDIUM,OFF-0213|OFF-0107,true
CASE-00002,NARCOTICS,CHARGESHEETED,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,MEDIUM,OFF-0199|OFF-0101|OFF-0012|OFF-0008,true
CASE-00003,VIOLENT_CRIME,UNDER_INVESTIGATION,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,MEDIUM,OFF-0065|OFF-0008|OFF-0084,true
CASE-00004,CYBER_FRAUD,CLOSED,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,HIGH,OFF-0034,true
CASE-00005,FINANCIAL_CRIME,CLOSED,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,MEDIUM,OFF-0023|OFF-0214,true
CASE-00006,CYBER_FRAUD,CHARGESHEETED,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,HIGH,OFF-0145|OFF-0111,true
CASE-00007,GENERAL_THEFT,CLOSED,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,MEDIUM,OFF-0098,true
CASE-00008,CYBER_FRAUD,CLOSED,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,HIGH,OFF-0225|OFF-0168|OFF-0137|OFF-0132,true
CASE-00009,MISSING_PERSON,CHARGESHEETED,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,STATE_02,MEDIUM,OFF-0238|OFF-0043,true
CASE-00010,NARCOTICS,UNDER_INVESTIGATION,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,STATE_01,MEDIUM,OFF-0240|OFF-0039,true
CASE-00011,VIOLENT_CRIME,COURT_PENDING,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0149|OFF-0195|OFF-0062|OFF-0048,true
CASE-00012,NARCOTICS,UNDER_INVESTIGATION,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,MEDIUM,OFF-0044,true
CASE-00013,WOMEN_CHILD_SAFETY,CLOSED,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,STATE_02,HIGH,OFF-0174|OFF-0165|OFF-0121|OFF-0108,true
CASE-00014,VIOLENT_CRIME,OPEN,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,MEDIUM,OFF-0189|OFF-0218,true
CASE-00015,VIOLENT_CRIME,CHARGESHEETED,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,MEDIUM,OFF-0019|OFF-0037,true
CASE-00016,CYBER_FRAUD,OPEN,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,STATE_01,HIGH,OFF-0173|OFF-0016,true
CASE-00017,VIOLENT_CRIME,UNDER_INVESTIGATION,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,MEDIUM,OFF-0079|OFF-0098|OFF-0136|OFF-0018,true
CASE-00018,CYBER_FRAUD,COURT_PENDING,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,HIGH,OFF-0222|OFF-0218|OFF-0189|OFF-0232,true
CASE-00019,WOMEN_CHILD_SAFETY,OPEN,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,HIGH,OFF-0226,true
CASE-00020,FINANCIAL_CRIME,OPEN,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0178|OFF-0031|OFF-0223|OFF-0076,true
CASE-00021,MISSING_PERSON,COURT_PENDING,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0123|OFF-0197,true
CASE-00022,CYBER_FRAUD,CLOSED,STATE_02_DIST_02_PS_03,STATE_02_DIST_02,STATE_02,HIGH,OFF-0010|OFF-0058|OFF-0139,true
CASE-00023,MISSING_PERSON,CLOSED,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,MEDIUM,OFF-0217,true
CASE-00024,GENERAL_THEFT,CHARGESHEETED,STATE_03_DIST_03_PS_02,STATE_03_DIST_03,STATE_03,MEDIUM,OFF-0091,true
CASE-00025,GENERAL_THEFT,UNDER_INVESTIGATION,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,MEDIUM,OFF-0213|OFF-0107,true
CASE-00026,FINANCIAL_CRIME,CHARGESHEETED,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0152|OFF-0239,true
CASE-00027,WOMEN_CHILD_SAFETY,COURT_PENDING,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,HIGH,OFF-0207|OFF-0221|OFF-0194|OFF-0198,true
CASE-00028,GENERAL_THEFT,OPEN,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0168,true
CASE-00029,FINANCIAL_CRIME,UNDER_INVESTIGATION,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,MEDIUM,OFF-0217|OFF-0074|OFF-0167,true
CASE-00030,JUVENILE_PROTECTION,CLOSED,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,STATE_01,HIGH,OFF-0162|OFF-0181,true
CASE-00031,WOMEN_CHILD_SAFETY,CHARGESHEETED,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,HIGH,OFF-0114|OFF-0207,true
CASE-00032,VIOLENT_CRIME,UNDER_INVESTIGATION,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,MEDIUM,OFF-0156,true
CASE-00033,MISSING_PERSON,CHARGESHEETED,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,MEDIUM,OFF-0145,true
CASE-00034,JUVENILE_PROTECTION,UNDER_INVESTIGATION,STATE_02_DIST_03_PS_02,STATE_02_DIST_03,STATE_02,HIGH,OFF-0082|OFF-0068|OFF-0227|OFF-0196,true
CASE-00035,CYBER_FRAUD,COURT_PENDING,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,HIGH,OFF-0019|OFF-0037,true
CASE-00036,GENERAL_THEFT,OPEN,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,STATE_01,MEDIUM,OFF-0229|OFF-0133|OFF-0060,true
CASE-00037,VIOLENT_CRIME,CHARGESHEETED,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,MEDIUM,OFF-0107|OFF-0213,true
CASE-00038,FINANCIAL_CRIME,UNDER_INVESTIGATION,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0120|OFF-0180|OFF-0173,true
CASE-00039,VIOLENT_CRIME,OPEN,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,MEDIUM,OFF-0187,true
CASE-00040,VIOLENT_CRIME,COURT_PENDING,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,MEDIUM,OFF-0218|OFF-0232|OFF-0189|OFF-0222,true
CASE-00041,VIOLENT_CRIME,COURT_PENDING,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0194|OFF-0040|OFF-0114|OFF-0146,true
CASE-00042,GENERAL_THEFT,CHARGESHEETED,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,MEDIUM,OFF-0134|OFF-0156|OFF-0145,true
CASE-00043,NARCOTICS,CHARGESHEETED,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,MEDIUM,OFF-0222|OFF-0189|OFF-0218,true
CASE-00044,NARCOTICS,OPEN,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,MEDIUM,OFF-0225,true
CASE-00045,JUVENILE_PROTECTION,CLOSED,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,HIGH,OFF-0207,true
CASE-00046,WOMEN_CHILD_SAFETY,CHARGESHEETED,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,STATE_02,HIGH,OFF-0238,true
CASE-00047,MISSING_PERSON,CHARGESHEETED,STATE_01_DIST_01_PS_01,STATE_01_DIST_01,STATE_01,MEDIUM,OFF-0183,true
CASE-00048,FINANCIAL_CRIME,UNDER_INVESTIGATION,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0198|OFF-0221|OFF-0040,true
CASE-00049,CYBER_FRAUD,CLOSED,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,HIGH,OFF-0014|OFF-0158|OFF-0088,true
CASE-00050,VIOLENT_CRIME,UNDER_INVESTIGATION,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,MEDIUM,OFF-0029,true
CASE-00051,VIOLENT_CRIME,UNDER_INVESTIGATION,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,MEDIUM,OFF-0067|OFF-0030|OFF-0124,true
CASE-00052,FINANCIAL_CRIME,CLOSED,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,MEDIUM,OFF-0037|OFF-0230,true
CASE-00053,CYBER_FRAUD,COURT_PENDING,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,HIGH,OFF-0153|OFF-0127|OFF-0029,true
CASE-00054,CYBER_FRAUD,UNDER_INVESTIGATION,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,HIGH,OFF-0150|OFF-0031|OFF-0223|OFF-0076,true
CASE-00055,FINANCIAL_CRIME,UNDER_INVESTIGATION,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,STATE_01,MEDIUM,OFF-0120|OFF-0007|OFF-0024|OFF-0180,true
CASE-00056,MISSING_PERSON,COURT_PENDING,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,MEDIUM,OFF-0156|OFF-0134|OFF-0111|OFF-0145,true
