officer_id,officer_hash,role,rank_level,station_id,district_id,state_id,agency,clearance_level,credential_status,is_supervisor,cyber_training,forensic_training,prior_request_count,recent_denied_count,assigned_case_ids,synthetic_only
OFF-0001,858f20314a8c64995d905a33,Prosecutor Liaison,4,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,PROSECUTION,MEDIUM,ACTIVE,false,true,false,6,5,CASE-00101|CASE-00112|CASE-00232|CASE-00309,true
OFF-0002,893580185d14634211eb9a59,Forensic Officer,4,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,FORENSIC,HIGH,ACTIVE,false,true,true,26,1,CASE-00030|CASE-00225,true
OFF-0003,5e4ff04af077f5ff22cd6cd0,Constable,1,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,POLICE,LOW,ACTIVE,false,false,false,14,0,CASE-00026|CASE-00051|CASE-00202,true
OFF-0004,4fe847ab79de841540c7b990,Constable,1,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,POLICE,LOW,ACTIVE,false,false,false,26,2,CASE-00230|CASE-00253,true
OFF-0005,0c324b29f9a967adb599bde0,Constable,1,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,POLICE,LOW,ACTIVE,false,false,false,37,3,CASE-00100|CASE-00143|CASE-00184|CASE-00224|CASE-00346,true
OFF-0006,05c87980613cb5db42b892f9,Constable,1,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,POLICE,LOW,ACTIVE,false,false,false,31,8,CASE-00318,true
OFF-0007,934e26f772b73b1d824939e2,Cybercrime Officer,4,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,CYBERCRIME,HIGH,ACTIVE,false,true,false,23,4,CASE-00114|CASE-00136|CASE-00157|CASE-00296,true
OFF-0008,f7c9b924c136028c31a62c8c,Cybercrime Officer,4,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,CYBERCRIME,HIGH,ACTIVE,false,true,false,36,4,CASE-00043|CASE-00160|CASE-00226,true
OFF-0009,48f5470b8ce4df5af3e82ab0,Sub-Inspector,3,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,4,1,CASE-00088|CASE-00268|CASE-00305|CASE-00313|CASE-00329|CASE-00355,true
OFF-0010,bcb4468affef262ed92897ea,Sub-Inspector,3,STATE_03_DIST_03_PS_03,STATE_03_DIST_03,STATE_03,POLICE,MEDIUM,ACTIVE,false,true,false,2,1,CASE-00067|CASE-00095|CASE-00096|CASE-00158|CASE-00260|CASE-00264,true
OFF-0011,84a9b6fb8d6efe7cd09043f6,Inspector,4,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,38,7,CASE-00010|CASE-00023|CASE-00123|CASE-00135|CASE-00190|CASE-00214|CASE-00236|CASE-00319|CASE-00353,true
OFF-0012,1e6c5e762b98d4b3d94fa258,Constable,1,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,POLICE,LOW,ACTIVE,false,false,false,4,0,CASE-00168|CASE-00210,true
OFF-0013,3573eec47a61bb4c69e2b339,Inspector,4,STATE_02_DIST_03_PS_02,STATE_02_DIST_03,STATE_02,POLICE,MEDIUM,SUSPENDED,false,false,false,24,5,,true
OFF-0014,86b6682cd665b74e9695ec29,Prosecutor Liaison,4,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,PROSECUTION,MEDIUM,ACTIVE,false,false,false,13,4,CASE-00052|CASE-00102|CASE-00126|CASE-00278,true
OFF-0015,69527641f80b28a01bb229b7,Station House Officer,5,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,POLICE,HIGH,ACTIVE,true,false,false,10,7,CASE-00057|CASE-00091|CASE-00172|CASE-00175|CASE-00283|CASE-00326,true
OFF-0016,5d49251d25024e2ef906fcfa,Inspector,4,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,17,6,CASE-00107|CASE-00130|CASE-00151|CASE-00253|CASE-00262|CASE-00312,true
OFF-0017,81f27590363500d418d0fc7b,Station House Officer,5,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,STATE_02,POLICE,HIGH,ACTIVE,true,false,true,9,3,CASE-00129|CASE-00147|CASE-00171|CASE-00241|CASE-00321|CASE-00338,true
OFF-0018,f8755a48fce2988e7e892881,Constable,1,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,POLICE,LOW,ACTIVE,false,false,false,9,6,CASE-00178|CASE-00208|CASE-00269|CASE-00335|CASE-00350,true
OFF-0019,43619f9291295cde078ede73,Sub-Inspector,3,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,32,0,CASE-00143|CASE-00184|CASE-00224|CASE-00279|CASE-00297|CASE-00346,true
OFF-0020,fcd532f0d95281220fe7337b,Forensic Officer,4,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,FORENSIC,HIGH,ACTIVE,false,false,true,51,8,CASE-00132|CASE-00197|CASE-00242,true
OFF-0021,d58ac64e32ce6bc751285238,Sub-Inspector,3,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,12,1,CASE-00151,true
OFF-0022,cdb37082bd33066e73ce6a23,Sub-Inspector,3,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,POLICE,MEDIUM,ACTIVE,false,false,true,36,2,CASE-00046|CASE-00246,true
OFF-0023,7dd10e346a2e773cbf9da071,Constable,1,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,POLICE,LOW,ACTIVE,false,true,false,39,6,CASE-00100|CASE-00239|CASE-00279|CASE-00293|CASE-00297|CASE-00346,true
OFF-0024,c5766246d7388485ac5c149e,Inspector,4,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,POLICE,MEDIUM,REVOKED,false,false,false,7,7,,true
OFF-0025,7fa77f7b07565190b1b9a0af,Sub-Inspector,3,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,POLICE,MEDIUM,ACTIVE,false,true,false,47,4,,true
OFF-0026,1744a4b8e7d09467e6ea7495,Cybercrime Officer,4,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,CYBERCRIME,HIGH,ACTIVE,false,true,true,60,8,,true
OFF-0027,0333fdd2d35c528a38a1dbe4,Constable,1,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,POLICE,LOW,ACTIVE,false,true,false,41,1,CASE-00068|CASE-00318,true
OFF-0028,8ec325482a0f9259719128c5,Inspector,4,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,POLICE,MEDIUM,REVOKED,false,false,false,34,8,,true
OFF-0029,1f84d906e82c7901ab98337e,Inspector,4,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,POLICE,MEDIUM,ACTIVE,false,false,false,12,3,CASE-00211|CASE-00231,true
OFF-0030,02df4864bc93f0037e94de95,Station House Officer,5,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,POLICE,HIGH,ACTIVE,true,false,false,1,0,CASE-00107|CASE-00130|CASE-00151|CASE-00217|CASE-00262,true
OFF-0031,12eb6ff70063628bed70540f,Sub-Inspector,3,STATE_02_DIST_02_PS_03,STATE_02_DIST_02,STATE_02,POLICE,MEDIUM,ACTIVE,false,false,false,51,5,CASE-00060|CASE-00259,true
OFF-0032,087843a059da3833acdab60b,Constable,1,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,POLICE,LOW,ACTIVE,false,false,false,30,0,,true
OFF-0033,4f04697319f636cd795e5d1b,Forensic Officer,4,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,FORENSIC,HIGH,ACTIVE,false,false,true,53,1,CASE-00054|CASE-00206|CASE-00336,true
OFF-0034,9f1a046129b76f0cd0f13803,Cybercrime Officer,4,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,CYBERCRIME,HIGH,ACTIVE,false,true,false,11,6,CASE-00039|CASE-00065|CASE-00133|CASE-00273|CASE-00274|CASE-00340,true
OFF-0035,6d2396ea39d60a2c9554602a,Constable,1,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,POLICE,LOW,REVOKED,false,false,false,47,1,,true
OFF-0036,d3ba9e82379b9a1fa09b884a,Constable,1,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,STATE_01,POLICE,LOW,ACTIVE,false,true,false,51,2,CASE-00055|CASE-00128,true
OFF-0037,61f9c30ebf940f606c1a2520,Inspector,4,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,0,1,CASE-00003|CASE-00345,true
OFF-0038,ed345e57c83b3d1c5b2c2660,Station House Officer,5,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,POLICE,HIGH,ACTIVE,true,false,false,55,3,CASE-00088,true
OFF-0039,b0f05da9786602e3afcbd606,Head Constable,2,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,POLICE,LOW,ACTIVE,false,false,false,16,8,CASE-00052,true
OFF-0040,c5c5b540de8f1dde6964dc89,Cybercrime Officer,4,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,CYBERCRIME,HIGH,ACTIVE,false,true,false,57,7,CASE-00244,true
OFF-0041,6adbebf965a8665f8e3dd8db,Sub-Inspector,3,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,POLICE,MEDIUM,REVOKED,false,false,false,33,8,,true
OFF-0042,4bdedd9e1ddefe7a1e6434d1,Forensic Officer,4,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,FORENSIC,HIGH,ACTIVE,false,false,true,49,2,CASE-00052|CASE-00124|CASE-00251|CASE-00278,true
OFF-0043,d4da98f8bbaf8c84670817a6,Constable,1,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,STATE_01,POLICE,LOW,ACTIVE,false,true,true,43,8,CASE-00074|CASE-00148|CASE-00286|CASE-00303|CASE-00332|CASE-00349,true
OFF-0044,e35d3d5ab37a57023a757cf4,Inspector,4,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,POLICE,MEDIUM,ACTIVE,false,true,false,15,3,CASE-00075|CASE-00173|CASE-00277|CASE-00355,true
OFF-0045,1abb810c99dd60558b095f4d,Constable,1,STATE_02_DIST_02_PS_03,STATE_02_DIST_02,STATE_02,POLICE,LOW,ACTIVE,false,false,true,57,1,CASE-00092|CASE-00105|CASE-00139|CASE-00259|CASE-00275,true
OFF-0046,ceb8bb971ba08b4df678d1fa,Head Constable,2,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,POLICE,LOW,SUSPENDED,false,false,false,17,7,,true
OFF-0047,6734000e8363d6ae298dddfd,Inspector,4,STATE_03_DIST_03_PS_03,STATE_03_DIST_03,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,56,4,CASE-00141|CASE-00194|CASE-00218|CASE-00264|CASE-00334,true
OFF-0048,871e4c8cc36e0fafb27ef560,Forensic Officer,4,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,FORENSIC,HIGH,ACTIVE,false,false,true,26,1,CASE-00023|CASE-00190|CASE-00214|CASE-00236|CASE-00237|CASE-00360,true
OFF-0049,e48c526210cf797e3886d5ef,Sub-Inspector,3,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,true,42,4,CASE-00040|CASE-00230|CASE-00253,true
OFF-0050,1df1233ec54fa0732a43c292,Forensic Officer,4,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,FORENSIC,HIGH,ACTIVE,false,false,true,42,5,CASE-00356,true
OFF-0051,316e4edba94c2b3868db8ac7,Head Constable,2,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,POLICE,LOW,ACTIVE,false,false,false,6,6,CASE-00027|CASE-00111|CASE-00240|CASE-00307,true
OFF-0052,0c912fab59a9f46b26c259dd,Constable,1,STATE_03_DIST_03_PS_02,STATE_03_DIST_03,STATE_03,POLICE,LOW,ACTIVE,false,false,false,32,6,CASE-00037|CASE-00049|CASE-00073|CASE-00077|CASE-00117|CASE-00153|CASE-00166|CASE-00177|CASE-00203|CASE-00256|CASE-00258,true
OFF-0053,5250e04b75f9aa481b9f2c6e,Sub-Inspector,3,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,POLICE,MEDIUM,ACTIVE,false,true,false,21,8,CASE-00199,true
OFF-0054,100ec956e3b5dce60e3db6a6,Sub-Inspector,3,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,POLICE,MEDIUM,ACTIVE,false,false,false,32,1,CASE-00132,true
OFF-0055,e246494264abad2f32845507,Senior Superintendent,6,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,POLICE,CLASSIFIED,ACTIVE,true,false,true,16,4,,true
OFF-0056,614c14e8c660d73ace97d265,Forensic Officer,4,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,FORENSIC,HIGH,ACTIVE,false,false,true,52,6,CASE-00014|CASE-00017|CASE-00131|CASE-00154,true
OFF-0057,cf4f97b5eda3195f8d5d3726,Sub-Inspector,3,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,POLICE,MEDIUM,ACTIVE,false,false,false,20,1,CASE-00079|CASE-00093|CASE-00213,true
OFF-0058,b9583c7e99cc3289ea585d73,Constable,1,STATE_02_DIST_02_PS_03,STATE_02_DIST_02,STATE_02,POLICE,LOW,ACTIVE,false,false,true,60,0,CASE-00060|CASE-00139,true
OFF-0059,abdf3e234ce3687605069a60,Cybercrime Officer,4,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,CYBERCRIME,HIGH,ACTIVE,false,true,false,4,4,CASE-00001|CASE-00078|CASE-00134|CASE-00238|CASE-00322|CASE-00328,true
