request_id,timestamp_utc,scenario_type,requester_officer_id,requester_officer_hash,requester_role,requester_rank_level,requester_agency,requester_station_id,requester_district_id,requester_state_id,requester_clearance_level,requester_credential_status,case_assignment_status,target_record_id,target_record_hash,target_case_id,target_case_type,target_record_type,target_station_id,target_district_id,target_state_id,target_owner_agency,record_sensitivity_level,victim_flag,witness_flag,juvenile_flag,evidence_media_flag,sealed_status,retention_status,same_station,same_district,same_state,cross_jurisdiction,purpose,action,emergency_flag,court_or_prosecutor_request_flag,approval_token_status,time_window,network_status,request_channel,policy_version,raw_record_included,synthetic_only,request_content_hash,decision,primary_reason_code,matched_rule_ids,all_triggered_rule_ids,decisive_attributes,failed_or_review_rules,required_approval,xai_explanation,xai_supporting_factors,policy_version_evaluated,decision_hash,explanation_hash,audit_anchor_hash
REQ-000001,2026-05-27T00:10:00Z,cross_jurisdiction_sensitive,OFF-0078,006fa23a737e20e3625debb8,Sub-Inspector,3,POLICE,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000008,82f3a0dc6cf5506dd0eab4e1,CASE-00130,VIOLENT_CRIME,EVIDENCE_MEDIA,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,POLICE,CLASSIFIED,false,false,false,true,OPEN,ACTIVE,false,false,true,true,SUPERVISION,VIEW,false,false,MISSING,NIGHT,DEGRADED,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,7e347a1136438f85969d77bd39fba0d6ef7e710f3e1d452020bfde7c0d6cbf08,escalate,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,approval_token_status|cross_jurisdiction|record_sensitivity_level,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,classified_record_approval|cross_jurisdiction_superior_approval|sensitive_record_approval,"Access was escalated for senior review because sensitive record is requested across jurisdiction; classified record requires valid approval; sensitive record request is missing approval. Requester role=Sub-Inspector, record type=EVIDENCE_MEDIA, sensitivity=CLASSIFIED, purpose=SUPERVISION. Supporting factors: active credential, purpose is recognized by policy, requested action is routine.",active credential|purpose is recognized by policy|requested action is routine,P-2026-05-STEP2-ORACLE,93930572c9a550a86530a113ee16973e388a752df6eee4654778d66b42f86fbd,66a59eeaf417ee49d8022fad6c35093ec1273f6a8ca18b3a9a454b803accd005,fad49f566aea60f3ca02800c16e77dd11bdc26b738208d2396cb691797f01f17
REQ-000002,2026-05-27T00:30:00Z,revoked_credential,OFF-0192,3d55943653d0579351b1bb1c,Constable,1,POLICE,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,STATE_01,LOW,REVOKED,NOT_ASSIGNED,REC-000361,5ca701958e9a1da7521ce158,CASE-00240,MISSING_PERSON,EVIDENCE_MEDIA,STATE_03_DIST_03_PS_01,STATE_03_DIST_03,STATE_03,POLICE,CLASSIFIED,false,false,false,true,OPEN,ARCHIVED,false,false,false,true,INVESTIGATION,VIEW,false,false,MISSING,BUSINESS_HOURS,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,029fcff8348150b18cf61a2da0127e6e4a97ae30092dafa3227693b5a7329749,deny,DENY_INACTIVE_CREDENTIAL,DENY_INACTIVE_CREDENTIAL,DENY_INACTIVE_CREDENTIAL|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,requester_credential_status,DENY_INACTIVE_CREDENTIAL|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,none,"Access was denied because credential status is REVOKED. Requester role=Constable, record type=EVIDENCE_MEDIA, sensitivity=CLASSIFIED, purpose=INVESTIGATION. Supporting factors: purpose is recognized by policy, requested action is routine.",purpose is recognized by policy|requested action is routine,P-2026-05-STEP2-ORACLE,dfab5bcb3b31f1f5b144f8490d6b2b1a16247c06caa10192e0e058959ce4df5c,8b820226e749a60a7a0481d929df71bc1724f481f01397e1853653d48ebf2e53,cbcb120b06dc3ac635ff4c10be2946648f72701961330ca81c879640c42af749
REQ-000003,2026-05-27T00:09:00Z,normal_in_jurisdiction,OFF-0217,fdc97c18ce18a70d495aa065,Sub-Inspector,3,POLICE,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,MEDIUM,ACTIVE,ASSIGNED,REC-000034,9917dc83548405dcdfa48501,CASE-00243,WOMEN_CHILD_SAFETY,FIR_SUMMARY,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,POLICE,LOW,true,false,false,false,OPEN,ACTIVE,true,true,true,false,INVESTIGATION,VIEW,false,false,NOT_REQUIRED,AFTER_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,a417461e52365ec084d420110a714fd13272f7f9617461573b3277336a264fbe,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,ESCALATE_PRIVACY_SENSITIVE_RECORD,ESCALATE_PRIVACY_SENSITIVE_RECORD,victim_flag,ESCALATE_PRIVACY_SENSITIVE_RECORD,sensitive_record_approval,"Access was escalated for senior review because juvenile, victim, or witness-sensitive record requires review. Requester role=Sub-Inspector, record type=FIR_SUMMARY, sensitivity=LOW, purpose=INVESTIGATION. Supporting factors: active credential, officer is assigned to the case, request is within jurisdiction, purpose is recognized by policy.",active credential|officer is assigned to the case|request is within jurisdiction|purpose is recognized by policy|requested action is routine,P-2026-05-STEP2-ORACLE,349676c252e9864e2fdd1c732e310539b5369338469fb671c0aea80de5ce81bf,bff43841592d59178d047ad14711490a496bffceeb0ccf530b248631896bf915,6e5ade3a497d5728c19150ab03bf8c4b851a13892f573d39c5135549c2c10204
REQ-000004,2026-05-27T01:08:00Z,emergency_override,OFF-0017,81f27590363500d418d0fc7b,Inspector,4,POLICE,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000449,5cffb8dc75d9d131aa574db1,CASE-00090,CYBER_FRAUD,WITNESS_STATEMENT,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,POLICE,HIGH,false,true,false,false,OPEN,UNDER_REVIEW,false,false,true,true,EMERGENCY_RESPONSE,VIEW,true,false,PRESENT_VALID,BUSINESS_HOURS,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,82ab0990822d43faa12420ce15bb1b42a69c84b8c42912ab2c4a5f80a58b7917,escalate,ESCALATE_EMERGENCY_REVIEW_REQUIRED,ESCALATE_EMERGENCY_REVIEW_REQUIRED|ESCALATE_PRIVACY_SENSITIVE_RECORD|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,ESCALATE_EMERGENCY_REVIEW_REQUIRED|ESCALATE_PRIVACY_SENSITIVE_RECORD|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,cross_jurisdiction|emergency_flag|purpose|record_sensitivity_level|witness_flag,ESCALATE_EMERGENCY_REVIEW_REQUIRED|ESCALATE_PRIVACY_SENSITIVE_RECORD|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,cross_jurisdiction_superior_approval|sensitive_record_approval|superior_emergency_review,"Access was escalated for senior review because emergency access requires supervisory review; juvenile, victim, or witness-sensitive record requires review; sensitive record is requested across jurisdiction. Requester role=Inspector, record type=WITNESS_STATEMENT, sensitivity=HIGH, purpose=EMERGENCY_RESPONSE. Supporting factors: active credential, purpose is recognized by policy, requested action is routine.",active credential|purpose is recognized by policy|requested action is routine,P-2026-05-STEP2-ORACLE,bf1db6c333909d68973635cf12eb7e35dabf3e3f5589f2810e10b7defbec4451,ea61c52816cff4b81fe04ed8fe9b0a7aef5d7d5207a2b29c85fc781e5b07d69e,8676273c4ee891d7fb5f774a6d3f0e90fb3053bca6931cfce6a8858d31cd09db
REQ-000005,2026-05-27T00:20:00Z,sealed_record,OFF-0123,72950e6372134a5838550d42,Sub-Inspector,3,POLICE,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000529,b1cba9b450fb8d5bb630c5a5,CASE-00083,JUVENILE_PROTECTION,CYBERCRIME_COMPLAINT,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,POLICE,HIGH,false,false,true,false,SEALED,ACTIVE,false,false,false,true,PROSECUTION_REVIEW,VIEW,false,true,PRESENT_VALID,AFTER_HOURS,ONLINE,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,9cfe0e8a103cbd92e6f1d4f7865429629129243c1ba7ed091fb77bb0d30ea869,escalate,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED|ESCALATE_PRIVACY_SENSITIVE_RECORD|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED|ESCALATE_PRIVACY_SENSITIVE_RECORD|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,approval_token_status|court_or_prosecutor_request_flag|cross_jurisdiction|juvenile_flag|record_sensitivity_level|sealed_status,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED|ESCALATE_PRIVACY_SENSITIVE_RECORD|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,"Access was escalated for senior review because sealed record has court or prosecution context but still requires review; juvenile, victim, or witness-sensitive record requires review; sensitive record is requested across jurisdiction. Requester role=Sub-Inspector, record type=CYBERCRIME_COMPLAINT, sensitivity=HIGH, purpose=PROSECUTION_REVIEW. Supporting factors: active credential, purpose is recognized by policy, requested action is routine.",active credential|purpose is recognized by policy|requested action is routine,P-2026-05-STEP2-ORACLE,713aea01d19f81e3075c8b96ca053e6b8c3c0ed5fd8b7a50f63518a78e068ed8,18303e3c71a214747288e94a7e6dffa27865cf7d377f20a1bb76dbd76057d285,e9e29b1ed90146c628d94e4b6e0dd26c87a09ef17f2059f58bcbf75e26913686
REQ-000006,2026-05-27T01:00:00Z,stale_case_assignment,OFF-0193,4be2947fa44b5e03c9285de0,Inspector,4,POLICE,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,MEDIUM,ACTIVE,STALE,REC-000458,d3396f3cbd7762ada5e22661,CASE-00123,NARCOTICS,CASE_DIARY,STATE_01_DIST_01_PS_01,STATE_01_DIST_01,STATE_01,POLICE,CLASSIFIED,false,false,false,false,OPEN,ACTIVE,false,false,false,true,INVESTIGATION,DOWNLOAD,false,false,MISSING,BUSINESS_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,523dec66016bcbea1a8093e90929c925d76e1ed5fe2c4827fe47d8cd703d1bd2,deny,DENY_STALE_CASE_ASSIGNMENT,DENY_STALE_CASE_ASSIGNMENT,DENY_STALE_CASE_ASSIGNMENT|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,case_assignment_status,DENY_STALE_CASE_ASSIGNMENT|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,none,"Access was denied because case assignment is stale. Requester role=Inspector, record type=CASE_DIARY, sensitivity=CLASSIFIED, purpose=INVESTIGATION. Supporting factors: active credential, purpose is recognized by policy, requested action is routine.",active credential|purpose is recognized by policy|requested action is routine,P-2026-05-STEP2-ORACLE,e6abbd641fefdda44b237d3b9a0eaba741b1938ab010e9242fa33089237f5388,c83dd9cdea24acb52be5607b21526734f00cc265e831d8e512e43c1c87fc50fa,74f8286e037722cec2394f1f9c3fb4481abded842987ffe3ea999db303b44cf0
REQ-000007,2026-05-27T00:42:00Z,sealed_record,OFF-0044,e35d3d5ab37a57023a757cf4,Sub-Inspector,3,POLICE,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000491,0a821995dd018501d97bf96f,CASE-00225,FINANCIAL_CRIME,FORENSIC_REPORT,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,POLICE,HIGH,false,false,false,false,SEALED,ACTIVE,false,false,false,true,INVESTIGATION,APPROVE,false,false,MISSING,BUSINESS_HOURS,ONLINE,CCTNS_STYLE_API,P-2026-05-STEP1,false,true,b92a7991c01e527c5e52082fc107be93219ee87b091d1406209037e9915c9269,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT|DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT|DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,action|court_or_prosecutor_request_flag|requester_rank_level|sealed_status,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT|DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,none,"Access was denied because sealed record request has no court or prosecution context; approval action requires supervisor rank. Requester role=Sub-Inspector, record type=FORENSIC_REPORT, sensitivity=HIGH, purpose=INVESTIGATION. Supporting factors: active credential, purpose is recognized by policy.",active credential|purpose is recognized by policy,P-2026-05-STEP2-ORACLE,61a5695c2c3ebf9d94146fdd15ffd202f57f7b826a61d2e60b7b461534704bd4,516a18ddf1b94ff564d944ab0b0e3f0686f32a5e0d13485156c073bf5b2449cc,1a4c088f010bb4d88997b1952f2f22aa5d325672762965a776435298614ce6e7
REQ-000008,2026-05-27T02:08:00Z,stale_case_assignment,OFF-0018,f8755a48fce2988e7e892881,Senior Superintendent,6,POLICE,STATE_01_DIST_04_PS_01,STATE_01_DIST_04,STATE_01,CLASSIFIED,ACTIVE,STALE,REC-000599,c12b0ac38401f3270a04423b,CASE-00179,CYBER_FRAUD,CASE_DIARY,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,POLICE,HIGH,false,false,false,false,OPEN,ACTIVE,false,false,false,true,INVESTIGATION,VIEW,false,false,MISSING,BUSINESS_HOURS,DEGRADED,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,7200c9e4d475ce83c27125a0ae20fede24ca65b74a5f1cf0be528aa5c51adf45,deny,DENY_STALE_CASE_ASSIGNMENT,DENY_STALE_CASE_ASSIGNMENT,DENY_STALE_CASE_ASSIGNMENT|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,case_assignment_status,DENY_STALE_CASE_ASSIGNMENT|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,none,"Access was denied because case assignment is stale. Requester role=Senior Superintendent, record type=CASE_DIARY, sensitivity=HIGH, purpose=INVESTIGATION. Supporting factors: active credential, purpose is recognized by policy, requested action is routine.",active credential|purpose is recognized by policy|requested action is routine,P-2026-05-STEP2-ORACLE,71172179c09219843cf0dd955c40beaa827e28823c19ddd51e920cf3a8814d0c,6be9a47aa96f5295a42c3314ce393aaa5b48c0efd663cc8b16759d98cf0572e9,0575e20ed8b52699a788124793c57af63f7554fae461da0cbdfffd06b02467b7
REQ-000009,2026-05-27T01:57:00Z,random_context,OFF-0193,4be2947fa44b5e03c9285de0,Inspector,4,POLICE,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,MEDIUM,ACTIVE,NOT_ASSIGNED,REC-000281,66184ff814d37e76579d534f,CASE-00102,NARCOTICS,WITNESS_STATEMENT,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,POLICE,HIGH,false,true,false,false,OPEN,ARCHIVED,false,false,false,true,EMERGENCY_RESPONSE,VIEW,false,false,NOT_REQUIRED,BUSINESS_HOURS,ONLINE,MANUAL_ESCALATION,P-2026-05-STEP1,false,true,4f4a18eafba6d16ab4aa6949a9b215d07ca8d2938a03817d3d123a56cb715aa6,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,ESCALATE_PRIVACY_SENSITIVE_RECORD|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,ESCALATE_PRIVACY_SENSITIVE_RECORD|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,cross_jurisdiction|record_sensitivity_level|witness_flag,ESCALATE_PRIVACY_SENSITIVE_RECORD|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,cross_jurisdiction_superior_approval|sensitive_record_approval,"Access was escalated for senior review because juvenile, victim, or witness-sensitive record requires review; sensitive record is requested across jurisdiction. Requester role=Inspector, record type=WITNESS_STATEMENT, sensitivity=HIGH, purpose=EMERGENCY_RESPONSE. Supporting factors: active credential, purpose is recognized by policy, requested action is routine.",active credential|purpose is recognized by policy|requested action is routine,P-2026-05-STEP2-ORACLE,050efdf0d2281dcd5d5599a0ba55b96ce356079b56049e7b619d957b4ce67731,3e53c33a06fe68021330301f40d28f968f8fb4f6c17965ff4a78b34dd6e10871,d1c4e7b5430a8c37fdb34bb8111bc08f8d2c81ab95db4edf4f4a973db6b20145
REQ-000010,2026-05-27T01:50:00Z,sealed_record,OFF-0023,7dd10e346a2e773cbf9da071,Constable,1,POLICE,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,LOW,ACTIVE,NOT_ASSIGNED,REC-000580,6402bcc2f4170943bbb25e00,CASE-00205,GENERAL_THEFT,FORENSIC_REPORT,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,POLICE,CLASSIFIED,false,false,false,false,SEALED,ACTIVE,false,false,false,true,PROSECUTION_REVIEW,VIEW,false,true,MISSING,BUSINESS_HOURS,DEGRADED,ICJS_STYLE_EXCHANGE,P-2026-05-STEP1,false,true,4ee780e3a5410d278dc34c3af7bb9e4ab42acb09f47fb6424c5e0bffa18f056f,escalate,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,approval_token_status|court_or_prosecutor_request_flag|cross_jurisdiction|record_sensitivity_level|sealed_status,ESCALATE_SEALED_RECORD_REVIEW_REQUIRED|ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD|ESCALATE_CLASSIFIED_RECORD_APPROVAL_REQUIRED|ESCALATE_MISSING_APPROVAL_FOR_SENSITIVE_RECORD,classified_record_approval|cross_jurisdiction_superior_approval|sealed_record_superior_review|sensitive_record_approval,"Access was escalated for senior review because sealed record has court or prosecution context but still requires review; sensitive record is requested across jurisdiction; classified record requires valid approval. Requester role=Constable, record type=FORENSIC_REPORT, sensitivity=CLASSIFIED, purpose=PROSECUTION_REVIEW. Supporting factors: active credential, purpose is recognized by policy, requested action is routine.",active credential|purpose is recognized by policy|requested action is routine,P-2026-05-STEP2-ORACLE,1d5ef8834b73837954439a0ea086d7fd6dbef8e5d90bc41e2fccc4f8405582f6,b52ed4866a84dbdf58c97b6ea9fb617c4ce862af115968319507ddc538a39fbc,4aba67a7a21d59adb97c656f129ca6b0a795eb39b0c18c1f2bceb7c67b25769e
