event_sequence,event_id,timestamp_utc,request_id,requester_officer_hash,requester_station_id,target_record_hash,decision,primary_reason_code,policy_version_evaluated,request_content_hash,decision_hash,explanation_hash,audit_anchor_hash,event_payload_hash,previous_event_hash,event_hash,log_signature,signature_algorithm,audit_log_version
1,324ec6b81a6e3f9e23320d7f,2026-05-27T00:10:00Z,REQ-000001,6b0d84a1d858aa1335aacb1b,STATE_02_DIST_04_PS_03,b4c023d7b119f20e5d0e1666,deny,DENY_INACTIVE_CREDENTIAL,P-2026-05-STEP2-ORACLE,7b9637ccca50e459895587d5079601b6fa94b16323c39f82262f452f55e19767,5a8a93f1bc77ea9b92aee850808c4b95eefa1c7da7590c26b9e10ba589fcc2f1,d91899715aeaa50a549e9eb0550af7a0b3dffb1e29f383a35ac9bac689428d16,cb3ec3d699b6bb6efaf727d371bf2e26092c5f1ec624be7149c4bfe390912cf1,21e32cbae93606aaeba62a9b17a69072896fdc93f1ee2a03bec40968e41692b1,GENESIS,f661f6488b7346ef9ef41557373950d4ac91babff4c68776d55b680d186928c5,e8e20ec8caa1220725bdb14788ef9b5e8e97ab0519501e89b04d20c30a6cb72d,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
2,4617131b53276800df32a68c,2026-05-27T00:08:00Z,REQ-000002,bacbc9ea0ca5c88caca1fb35,STATE_02_DIST_04_PS_02,5820681615acad6176f4144a,deny,DENY_INACTIVE_CREDENTIAL,P-2026-05-STEP2-ORACLE,d07421afa1069f9d5b8a3cf7908b0408c4a1e7b4df983f5c6b98cf87e369cd4f,a529b699adfbf45ab711743a44988a5cfd9d40e6ff402dab45fb4d2e469a91e6,c08ee7f83ddf2aa06730ca27791bd1bc00264e4cd556e756e18a7c960f1cb1fa,6ae2ec7d63219433856e4301312bb6f37bad60f1b407445acbb8a9ac6e0273e2,d0ffcf7dd54616044ab67e3a4429e355bbbba73c24df20ac5f0c2b4984e654ff,f661f6488b7346ef9ef41557373950d4ac91babff4c68776d55b680d186928c5,2c1600312f721537cc938ecc9de12721084a1edc59d9ec62f7b961e5feed5e2b,6c8af849a645df3a514b5c924045867894ce97f57d6e2c18422056558110eec6,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
3,4736c616f078d1a4edddcd47,2026-05-27T00:36:00Z,REQ-000003,2f283926393a08241f4c19ba,STATE_03_DIST_04_PS_02,08885d987fd222a58c5328a3,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,P-2026-05-STEP2-ORACLE,fd78eb3f6d74860a98d8af4ef0a0659c077780fba38c52c8bea30237e610b33a,750275b18e552feeb5fda73b639dceb5b90feb074206b6db135979675ad628eb,5eb8a6f2f47b0c4ed62701b509aab60cdb93be7c4ce0f53ad08b8d27e42d1b3d,4d47498b67e5bb4df06a9cacfb2116b8377b422775b9e7133a73aa9c18256f5b,bff38cc68543e4057cd3d0cd2c21ebc8c6a4ff46162454bf96cb4cabb915b8a3,2c1600312f721537cc938ecc9de12721084a1edc59d9ec62f7b961e5feed5e2b,d88aabf664ec08292eda4731c2d33e516b25bd6bb51296899c12749583d26374,fd5a6a00aecb402c8053822586d4919098745346babc4d60d1509e5c51b67b64,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
4,b5bd6b51e8ee8f96fbf1127c,2026-05-27T00:20:00Z,REQ-000004,8d48fc84d688aabaae7c6986,STATE_02_DIST_01_PS_02,f25dca854781c5619ace3e1f,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,P-2026-05-STEP2-ORACLE,dd9fba97ea32c6c38b68af2fca23a64947801e70ff21850421fb63bd618324ac,daa3415244206a114278b6d7499771ccfa2a911212c7890de2762c7cb06bdb45,48144b2c5adcd60dab6b2bbc5e318ff1b5d20ede5c6b5d7caa88d789d8c2d6da,7f5c34c233fa92de1819c95f85ae2b658e2dfebd79de5e317d28ea1a4463ad89,2c685e48bec9a2846654ea380a19e20af96438807e91c8ab33db7f273308477d,d88aabf664ec08292eda4731c2d33e516b25bd6bb51296899c12749583d26374,a22fd5f53407005cfb5ceace1d5b38bbcb2062b9127484fed0cd6eb934ae02e1,fc924c2ecae7406ada8e0d74a01921ed64a31d413933793ecc9c675214ff9a59,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
5,a2c70c3e998c2a7c8a3dadcc,2026-05-27T00:35:00Z,REQ-000005,3d55943653d0579351b1bb1c,STATE_02_DIST_03_PS_01,b1369cfe83c9b50aaaf08c20,allow,ALLOW_ROUTINE_CONTEXTUAL_ACCESS,P-2026-05-STEP2-ORACLE,dc0cda6b0ae0e77b1100e9e8290d048bacde285f4b22a474f75fd126d5b19bc3,c1130758e43c1608c9222bd097ad9d2fc4afb5c78b92f435eedc662e6790b8b3,ea0bb0eb675a0b407723bddf52701c4cab85ff9421960f37ec99994832b54e00,233846e692562d0ea6da023615bb6feaeec840cd38e159c436c5acb0ad742d65,fb60029df6041331f448e5767c764bfcf05bb5a8e1e9b445a040797847b49850,a22fd5f53407005cfb5ceace1d5b38bbcb2062b9127484fed0cd6eb934ae02e1,8e5d79301d91ea5546218427640acd841d59f734a6e2c7b97832e1c956df41dc,04ba000205086babb46335ab80a08b9e0e79e57114ea6d2e9fe971ad812dbef8,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
6,901f45b31c9a9fbf80fab0c8,2026-05-27T00:36:00Z,REQ-000006,46719ed3c0b1ab7f0fbf5f90,STATE_01_DIST_03_PS_01,de8441b1623f69a2d75ebd76,deny,DENY_APPROVAL_ACTION_WITHOUT_SUPERVISOR_RANK,P-2026-05-STEP2-ORACLE,339c93958e9bd1674a01ac4eea3036276f8d72f0f427ad318307c3c3fc6fe913,91de136d7af2c9a3b8fef5fa0f9393874e126159757f16df7135b12f81be085a,a0494b8015ceaa7b3285520c0e0f363e5dcca71bdf5c292e75d3661f92731456,0a9f1c631df7785b28ff7e9e709ddb3aae27dd45d1297f6793fb274e011db525,fc7ff8ae5c3137bc1466d3746d2aaa4dc9b8451a754e6b534cc61060b1d3e64a,8e5d79301d91ea5546218427640acd841d59f734a6e2c7b97832e1c956df41dc,26c03b81f44ef3495ae31ceea3facf138b243170e1405cdaee4857fede928446,98d975095747725829b80489909e2b684b4ba9a51a3bc25c8b400f7acbe47aa9,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
7,c4f35e4700dad6b57b719510,2026-05-27T01:31:00Z,REQ-000007,d58ac64e32ce6bc751285238,STATE_03_DIST_01_PS_01,b8d1eb1153320f7d00fed69a,escalate,ESCALATE_CROSS_JURISDICTION_SENSITIVE_RECORD,P-2026-05-STEP2-ORACLE,70abb11f94c8b842fd1cbf6bb674c84bc56e0853fdbbffb7e6536260f28741ca,9d4e3c738d491f90855072c5eaab1a146801b5a0cb9aad9be8a2adf863ae8469,50c4fc69c157941078e6b57a5155771d01976cb251e470f51e3b7794c3aaf1d2,a97aee5b6602f39535d13812fb53a0a2f59e92ecef5f34febfa6fa4e11dc82a8,39c88e0e7f4a05198cbe7455a76c51c555c1cac8c81624b3d69943adb7c2964b,26c03b81f44ef3495ae31ceea3facf138b243170e1405cdaee4857fede928446,83090fbbd7ca0e617b37a1c91ea9e09a832f2565caeb6b13c6c5d974ca5d19e4,03b4a7622f755fd48c46bc2f6d52ca4cb3574e4fb4c075188b77fe9d9cd493b4,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
8,9755deef8e016a15b3186a07,2026-05-27T01:28:00Z,REQ-000008,05c87980613cb5db42b892f9,STATE_02_DIST_02_PS_02,5735e1f43cfb1d05ceef90b4,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,P-2026-05-STEP2-ORACLE,a68652a35f120567a07af87fd55661c48c2752c2403688637b15f8f410c3c6d1,6bddddcc6bbd0c00f34aa6384e4a6199da6820cf568f0196094c6a27f2318623,fe01ad90e75a881a0e094656aa937092eef75e4cfd8bbe7cc53784cd81edeba5,f7d152a6606bfaf1302cad691a5dfbc21d1bc7b5f60e89caab1c6de17d2fc681,bcaa1d9508971343f98e65823ebad9a745efa6426beb1b942ae6b8ade7365276,83090fbbd7ca0e617b37a1c91ea9e09a832f2565caeb6b13c6c5d974ca5d19e4,6e945ac97eeea623f5a9e41be10fce5746e9559ee02ed25a2e537085fa624993,7aa787667384d36d6d3ef5fa9cea65dcb22ca627d592a6e6fcd1fd7384450e8b,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
9,df7ea6d597dac0c2de9ceb59,2026-05-27T01:30:00Z,REQ-000009,eb2cec3f8312decabe6f3925,STATE_03_DIST_04_PS_03,22d13ba63717ca715e5005a7,deny,DENY_SEALED_RECORD_WITHOUT_COURT_CONTEXT,P-2026-05-STEP2-ORACLE,9a82d65eb9216ad918c21a6f3bf03538d8d3c7b07c088387f639368969da5259,8f9078b5ed81cbe68a0ad236dffa551ff8ebb2e5a1e6e2c541b492ed2312ce34,18bd098c3006273bf343e5734a637dbcdfd9923e4a10dee99e30f07ffdebaff4,d93963a88a6ff3467ad4f31462f06fb09966c7f075d126d681d0a19bd0e062f8,0728829493b61b2b99de6eb35b54982ae7742ea11c0a71377059e2aabb8548fc,6e945ac97eeea623f5a9e41be10fce5746e9559ee02ed25a2e537085fa624993,dfab3d13b50c3e4999a2abcf7a28b836df68510fc76254f6f910711c6623ec68,69b85d07e7e17cd324247ef886d82f3dc039b4c7f05e5e5a7d64aafe9cd030d6,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
10,e5d9a5223f14ad6f8ee3a9b3,2026-05-27T01:00:00Z,REQ-000010,69527641f80b28a01bb229b7,STATE_02_DIST_01_PS_01,abfd23e434f0f6d490ebb742,escalate,ESCALATE_PRIVACY_SENSITIVE_RECORD,P-2026-05-STEP2-ORACLE,f46386032e88a84715a14f404109e52164081986b53582fb7115d052f2ebed35,7d73df99971493587e7a1a0b5e3ce2d85bc723f36eb7dda28cb09c79b964d674,0abd41d98360c302858df7f760f1630f2061c235b1d9c0e409b61f2db79a9a1f,a83b8118a4cffab77c6349a7d6adf5a57808bb3eadf9b3118194f74e4833b37c,caac94ae078694b3e9ceed5f82dea43c31b898a4af4f7f21b04196d83d36cb20,dfab3d13b50c3e4999a2abcf7a28b836df68510fc76254f6f910711c6623ec68,21e9ad78b1bef4f9ed72d4e920c65a337c18445f51a720cee9f882cda8362db4,5852d9224f757504998885f2a7de194f7406c3cd5128efce4246d7a8ddab7b7b,HMAC-SHA256-DEMO,AUDIT-2026-05-STEP3
