method_id,scenario_type,requests,accuracy,correct_count,false_allow_count,false_deny_count,false_escalate_count
full_configured_pbac,court_request,86,1.0000,86,0,0,0
full_configured_pbac,cross_jurisdiction_sensitive,130,1.0000,130,0,0,0
full_configured_pbac,emergency_override,76,1.0000,76,0,0,0
full_configured_pbac,expired_approval_token,65,1.0000,65,0,0,0
full_configured_pbac,juvenile_sensitive,74,1.0000,74,0,0,0
full_configured_pbac,normal_in_jurisdiction,232,1.0000,232,0,0,0
full_configured_pbac,random_context,109,1.0000,109,0,0,0
full_configured_pbac,revoked_credential,73,1.0000,73,0,0,0
full_configured_pbac,sealed_record,71,1.0000,71,0,0,0
full_configured_pbac,stale_case_assignment,84,1.0000,84,0,0,0
no_approval_rules,court_request,86,1.0000,86,0,0,0
no_approval_rules,cross_jurisdiction_sensitive,130,1.0000,130,0,0,0
no_approval_rules,emergency_override,76,1.0000,76,0,0,0
no_approval_rules,expired_approval_token,65,0.2000,13,0,0,52
no_approval_rules,juvenile_sensitive,74,1.0000,74,0,0,0
no_approval_rules,normal_in_jurisdiction,232,1.0000,232,0,0,0
no_approval_rules,random_context,109,1.0000,109,0,0,0
no_approval_rules,revoked_credential,73,1.0000,73,0,0,0
no_approval_rules,sealed_record,71,0.9859,70,0,0,1
no_approval_rules,stale_case_assignment,84,1.0000,84,0,0,0
no_assignment_rules,court_request,86,1.0000,86,0,0,0
no_assignment_rules,cross_jurisdiction_sensitive,130,1.0000,130,0,0,0
no_assignment_rules,emergency_override,76,1.0000,76,0,0,0
no_assignment_rules,expired_approval_token,65,1.0000,65,0,0,0
no_assignment_rules,juvenile_sensitive,74,1.0000,74,0,0,0
no_assignment_rules,normal_in_jurisdiction,232,1.0000,232,0,0,0
no_assignment_rules,random_context,109,1.0000,109,0,0,0
no_assignment_rules,revoked_credential,73,1.0000,73,0,0,0
no_assignment_rules,sealed_record,71,1.0000,71,0,0,0
no_assignment_rules,stale_case_assignment,84,0.2262,19,0,0,65
no_context_review_fallback,court_request,86,0.9767,84,2,0,0
no_context_review_fallback,cross_jurisdiction_sensitive,130,1.0000,130,0,0,0
no_context_review_fallback,emergency_override,76,1.0000,76,0,0,0
no_context_review_fallback,expired_approval_token,65,1.0000,65,0,0,0
no_context_review_fallback,juvenile_sensitive,74,1.0000,74,0,0,0
no_context_review_fallback,normal_in_jurisdiction,232,0.9957,231,1,0,0
no_context_review_fallback,random_context,109,0.8899,97,12,0,0
no_context_review_fallback,revoked_credential,73,1.0000,73,0,0,0
no_context_review_fallback,sealed_record,71,1.0000,71,0,0,0
no_context_review_fallback,stale_case_assignment,84,1.0000,84,0,0,0
no_emergency_network_rules,court_request,86,1.0000,86,0,0,0
no_emergency_network_rules,cross_jurisdiction_sensitive,130,1.0000,130,0,0,0
no_emergency_network_rules,emergency_override,76,1.0000,76,0,0,0
no_emergency_network_rules,expired_approval_token,65,1.0000,65,0,0,0
no_emergency_network_rules,juvenile_sensitive,74,1.0000,74,0,0,0
no_emergency_network_rules,normal_in_jurisdiction,232,0.9957,231,1,0,0
no_emergency_network_rules,random_context,109,1.0000,109,0,0,0
no_emergency_network_rules,revoked_credential,73,1.0000,73,0,0,0
no_emergency_network_rules,sealed_record,71,1.0000,71,0,0,0
no_emergency_network_rules,stale_case_assignment,84,1.0000,84,0,0,0
no_jurisdiction_rules,court_request,86,1.0000,86,0,0,0
no_jurisdiction_rules,cross_jurisdiction_sensitive,130,1.0000,130,0,0,0
no_jurisdiction_rules,emergency_override,76,1.0000,76,0,0,0
no_jurisdiction_rules,expired_approval_token,65,1.0000,65,0,0,0
no_jurisdiction_rules,juvenile_sensitive,74,1.0000,74,0,0,0
no_jurisdiction_rules,normal_in_jurisdiction,232,0.9957,231,1,0,0
no_jurisdiction_rules,random_context,109,0.9358,102,7,0,0
no_jurisdiction_rules,revoked_credential,73,1.0000,73,0,0,0
no_jurisdiction_rules,sealed_record,71,1.0000,71,0,0,0
no_jurisdiction_rules,stale_case_assignment,84,1.0000,84,0,0,0
no_privacy_rules,court_request,86,0.9767,84,2,0,0
